Course,Home Fee,Overseas Fee,Level
"LSE-Sciences Po Double Degree in the Political Economy of
Development (MSc Development Management)",,,Postgraduate
"LSE-Sciences Po Double MSc Urban Policy:
MSc Local Economic Development or
MSc Regional and Urban Planning Studies or
MSc Urbanisation and Development",,,Postgraduate
Global MSc Management,36472,37168,Postgraduate
MSc Economics,27480,27480,Postgraduate
Executive MSc Behavioural Science,39856,39856,Postgraduate
"Executive MSc Healthcare Decision-Making in collaboration with
NICE",15793,15793,Postgraduate
MSc Finance (Part Time),22464,22464,Postgraduate
Executive Global MSc Management 10,71086,71086,Postgraduate
"Executive MSc Health Economics, Outcomes and Management in
Clinical Sciences",15020,15020,Postgraduate
"Executive MSc Health Economics, Policy and Management",14286,14286,Postgraduate
Executive MSc International Strategy and Diplomacy,32846,32846,Postgraduate
Executive MSc Social Business and Entrepreneurship,35317,35317,Postgraduate
