Course,Home Fee,Overseas Fee,Level
MSc Economics,22608,22608,Postgraduate
Executive MSc Behavioural Science,34070,34070,Postgraduate
Executive MSc Evaluation of Health Care Interventions and Outcomes in collaboration with NICE,13500,13500,Postgraduate
MSc Finance (Part Time),18492,18492,Postgraduate
Executive Global MSc Management7,63196,63196,Postgraduate
"Executive MSc Health Economics, Outcomes and Management in Cardiovascular Sciences",14443,14443,Postgraduate
"Executive MSc Health Economics, Policy and Management",10899,10899,Postgraduate
Executive MSc International Strategy and Diplomacy,29200,29200,Postgraduate
Executive MSc Social Business and Entrepreneurship,33280,33280,Postgraduate
Undergraduate Courses,9250,21570,Undergraduate
