Nationality,Department,Program,2019,2019.1,2019.2,2020,2020.1,2020.2,2021,2021.1,2021.2,2022,2022.1,2022.2,Unnamed: 15,Unnamed: 16,Unnamed: 17
Algerian,Management,,*,0,0,0,0,0,*,0,0,*,0,0,*,0,0
Algerian,Management,,0,0,0,*,0,0,*,0,0,0,0,0,*,*,0
Algerian,Mathematics,,*,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Algerian,Mathematics,,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Algerian,Media and Communications,,0,0,0,*,*,0,*,*,0,0,0,0,0,0,0
Algerian,"Philosophy, .. Sociology",,*,0,0,*,0,0,0,0,0,0,0,0,0,0,0
Algerian,"Philosophy, .. Sociology",,0,0,0,*,0,0,0,0,0,0,0,0,*,0,0
Algerian,Statistics,,*,0,0,*,0,0,0,0,0,0,0,0,*,0,0
American,Accounting,,19,0,0,21,*,0,24,*,*,25,*,0,23,*,0
American,Accounting,,25,13,5,14,10,*,9,*,*,8,5,*,14,6,*
American,Anthropology,,15,*,0,16,7,*,15,*,*,21,6,0,12,*,0
American,Anthropology,,38,21,8,48,27,8,54,39,12,47,29,10,29,19,11
American,Economic History,,26,*,*,17,*,*,28,*,*,22,*,*,24,5,*
American,Economic History,,32,18,6,41,18,10,41,21,12,32,17,10,31,15,10
American,Economics,,73,*,0,104,*,*,117,*,*,101,*,0,102,*,0
American,Economics,,139,29,11,112,32,12,127,32,11,93,28,9,88,29,9
American,European Institute,,91,48,22,83,60,36,111,57,24,63,36,14,79,51,30
American,Finance,,17,6,*,25,7,*,35,*,*,38,8,*,50,6,*
American,Finance,,86,10,8,70,9,*,59,10,*,52,9,*,68,5,*
American,Gender Studies,,103,49,20,95,49,20,100,49,24,68,34,20,72,45,24
American,Geography and Environment,,16,0,0,23,*,*,42,*,0,36,*,0,32,*,*
American,Geography and Environment,,185,65,28,184,80,29,253,94,34,174,76,39,230,100,42
American,Government,,131,*,*,116,9,*,170,*,*,123,10,*,118,12,5
American,Government,,234,74,41,223,79,32,280,88,46,200,71,33,148,62,34
American,Health Policy,,60,37,15,77,56,25,97,63,40,79,48,25,73,41,24
American,International Development,,218,82,44,240,112,61,227,106,60,202,100,59,213,100,56
American,International History,,34,*,*,55,9,*,46,*,*,66,12,*,56,8,5
American,International History,,89,60,39,68,45,41,119,63,37,85,55,41,79,44,42
American,International Relations,,49,7,*,62,13,*,69,*,0,50,7,*,49,10,*
American,International Relations,,293,72,35,226,85,32,266,64,32,218,67,36,224,92,44
American,Language C..,,18,0,0,19,5,*,28,9,*,12,5,0,21,*,*
American,Law School,,59,7,*,53,9,*,68,7,*,64,*,0,73,7,*
American,Law School,,29,12,*,30,9,*,39,9,*,29,13,6,23,9,*
American,Management,,28,*,*,41,*,0,35,*,0,58,*,0,39,*,0
American,Management,,195,64,33,172,62,30,156,60,28,100,43,22,121,40,21
American,Mathematics,,27,*,*,28,*,*,42,*,*,36,0,0,54,*,0
American,Mathematics,,36,12,*,28,8,*,23,6,0,28,6,*,26,7,*
American,Media and Communications,,175,82,44,181,83,44,213,97,47,145,72,40,134,67,34
American,Methodology,,50,13,7,66,23,*,52,23,15,48,17,6,51,16,9
American,"Philosophy, Logic and Scientific Method",,85,9,*,92,7,*,107,0,0,93,7,*,112,7,*
American,"Philosophy, Logic and Scientific Method",,34,11,*,51,18,9,56,22,14,45,24,11,36,21,12
American,Psychological and Behavio..,,10,*,0,23,6,0,22,*,0,20,0,0,20,*,*
American,Psychological and Behavio..,,125,41,23,125,38,22,148,51,22,90,38,28,120,51,32
American,School of Public Policy,,130,60,23,99,38,9,130,55,21,100,47,15,133,56,16
American,Social Policy,,53,*,*,46,5,0,83,*,*,60,*,0,58,*,*
American,Social Policy,,144,52,35,97,48,21,121,60,26,103,54,28,88,40,21
American,Sociology,,6,0,0,9,0,0,11,*,0,8,0,0,10,*,*
American,Sociology,,182,77,39,181,100,40,239,86,42,156,62,28,142,68,35
American,Statistics,,11,*,0,20,*,0,26,*,0,28,*,0,33,*,*
American,Statistics,,93,11,*,55,8,*,68,6,*,47,10,*,50,8,5
Andorran,Gender Studies,,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0
Andorran,Government,,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorran,International Development,,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0
Andorran,Law School Management,,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Andorran,Law School Management,,0,0,0,0,0,0,*,0,0,*,*,0,0,0,0
Andorran,Sociology,,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0
Angolan,Anthropology,,0,0,0,0,0,0,*,*,0,0,0,0,*,*,0
Angolan,Economic Hi.. Economics,,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Angolan,Economic Hi.. Economics,,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Angolan,Finance,,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Angolan,Geography and Environment,,*,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Angolan,Geography and Environment,,0,0,0,*,0,0,0,0,0,*,0,0,0,0,0
Angolan,Government,,*,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Angolan,Government,,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Angolan,Health Policy,,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
Angolan,International Development,,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Angolan,International Development,,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Angolan,Language C..,,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angolan,Law School Management,,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angolan,Law School Management,,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0
Angolan,Mathematics,,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Angolan,"Philosophy, .. School of Pu..",,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Angolan,"Philosophy, .. School of Pu..",,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Angolan,Social Policy Sociology,,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angolan,Social Policy Sociology,,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Angolan,Statistics,,0,0,0,0,0,0,*,0,0,0,0,0,*,0,0
Anguilla,Accounting,,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0
Anguilla,Law School Gender Stud..,,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Antiguan,Law School Gender Stud..,,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
Antiguan,Geography ..,,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Antiguan,Government International..,,0,0,0,*,0,0,*,0,0,0,0,0,0,0,0
Antiguan,Government International..,,0,0,0,0,0,0,*,*,*,*,0,0,*,0,0
Antiguan,International Development,,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Antiguan,Law School,,*,0,0,0,0,0,0,0,0,*,0,0,*,0,0
Antiguan,Management,,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Antiguan,Management,,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Antiguan,Psychological and Behavioural Sciences,,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0
Antiguan,Sociology,,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Argentinian,Accounting,,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0
Argentinian,Anthropology,,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0
Argentinian,Anthropology,,*,*,0,0,0,0,0,0,0,*,*,0,*,*,0
Argentinian,Economic Hi..,,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0
Argentinian,Economics,,*,0,0,*,0,0,*,0,0,*,0,0,*,0,0
Argentinian,Economics,,*,0,0,*,*,0,0,0,0,*,*,0,*,*,0
Argentinian,European Institute,,0,0,0,*,0,0,*,*,0,*,*,0,0,0,0
Argentinian,Finance,,0,0,0,*,0,0,*,0,0,*,0,0,0,0,0
Argentinian,Finance,,*,0,0,5,*,*,*,*,0,*,0,0,*,*,0
Argentinian,Gender Studies,,0,0,0,*,*,*,*,*,0,*,*,*,9,5,0
Argentinian,Geography ..,,6,*,0,12,5,*,*,*,0,7,*,0,6,*,*
Argentinian,Government,,*,0,0,*,0,0,*,0,0,*,0,0,*,0,0
Argentinian,Government,,14,5,*,7,*,0,*,*,0,*,0,0,*,*,0
Argentinian,Health Policy,,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0
Argentinian,International Development,,*,*,*,6,*,0,6,*,0,6,*,0,12,6,*
Argentinian,International History,,*,*,0,0,0,0,0,0,0,*,0,0,*,*,0
Argentinian,International History,,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Argentinian,International Relations,,*,0,0,*,0,0,*,*,*,*,0,0,0,0,0
Argentinian,International Relations,,*,*,*,*,*,0,5,*,*,*,0,0,*,*,0
Argentinian,Language C..,,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
Argentinian,Law School,,*,*,0,*,0,0,*,0,0,*,0,0,*,0,0
Argentinian,Law School,,17,7,*,18,7,*,15,10,*,15,9,*,13,10,*
Argentinian,Management,,*,0,0,0,0,0,0,0,0,*,0,0,*,0,0
Argentinian,Management,,8,*,*,8,*,*,13,8,*,9,7,*,*,*,*
Argentinian,Mathematics,,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Argentinian,Media and Communications,,7,*,*,7,*,*,9,*,*,*,*,0,*,0,0
Argentinian,Methodology,,7,*,*,7,*,0,*,*,0,*,*,*,*,*,0
Argentinian,"Philosophy, Logic and Scientific Method",,*,0,0,0,0,0,*,0,0,*,0,0,*,0,0
Argentinian,"Philosophy, Logic and Scientific Method",,*,0,0,*,0,0,*,0,0,*,*,0,0,0,0
Argentinian,Psychological and Behavioural Sciences,,5,*,*,9,*,0,*,0,0,*,0,0,5,0,0
Argentinian,School of Public Policy,,11,6,*,14,9,*,5,*,*,*,*,0,7,5,*
Argentinian,Social Policy,,*,0,0,*,0,0,0,0,0,0,0,0,*,0,0
Argentinian,Social Policy,,8,*,*,6,*,*,*,*,*,*,*,0,*,*,0
Argentinian,Sociology,,*,*,*,0,0,0,*,*,*,0,0,0,0,0,0
Argentinian,Sociology,,6,*,0,6,*,*,*,*,*,7,*,*,*,*,0
Argentinian,Statistics,,*,0,0,*,*,*,*,0,0,*,*,0,0,0,0
Armenian,Accounting,,*,0,0,*,0,0,0,0,0,0,0,0,*,0,0
Armenian,Accounting,,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenian,Anthropology,,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Armenian,Anthropology,,*,*,0,0,0,0,0,0,0,*,*,0,0,0,0
Armenian,Economics,,*,*,0,*,0,0,*,0,0,10,*,*,*,0,0
Armenian,Economics,,*,*,*,5,*,0,0,0,0,0,0,0,0,0,0
Armenian,European Institute,,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenian,Finance,,0,0,0,0,0,0,0,0,0,*,0,0,*,0,0
Armenian,Finance,,*,*,0,5,*,0,*,0,0,0,0,0,*,0,0
Armenian,Gender Studies,,0,0,0,0,0,0,*,*,*,0,0,0,*,*,0
Armenian,Geography ..,,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenian,Government,,*,0,0,0,0,0,0,0,0,*,0,0,*,0,0
Armenian,Government,,6,*,*,*,0,0,*,0,0,*,*,0,*,*,*
Armenian,Health Policy,,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0
Armenian,International Development,,7,*,*,*,*,0,7,5,*,*,*,*,*,*,0
Armenian,International Development,,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Armenian,International Development,,6,*,*,*,*,0,0,0,0,*,0,0,0,0,0
Armenian,Law School,,*,*,0,*,0,0,0,0,0,*,*,0,*,0,0
Armenian,Law School,,0,0,0,*,*,0,*,*,0,*,*,0,0,0,0
Armenian,Management,,*,*,0,0,0,0,0,0,0,*,0,0,0,0,0
Armenian,Management,,*,*,*,5,*,*,5,*,*,*,*,*,*,0,0
Armenian,Mathematics,,0,0,0,*,0,0,0,0,0,*,0,0,0,0,0
Armenian,Mathematics,,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenian,Media and Communications,,*,*,*,*,0,0,0,0,0,0,0,0,*,*,0
Armenian,Methodology,,*,0,0,*,0,0,0,0,0,0,0,0,0,0,0
Armenian,"Philosophy, Logic and Scientific Method",,*,*,0,*,0,0,0,0,0,0,0,0,*,0,0
Armenian,"Philosophy, Logic and Scientific Method",,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0
Armenian,Psychological and Behavioural Sciences,,*,0,0,0,0,0,0,0,0,0,0,0,*,*,0
Armenian,School of Public Policy,,5,*,0,*,*,*,0,0,0,0,0,0,0,0,0
Armenian,Social Policy,,*,0,0,*,0,0,0,0,0,*,*,0,0,0,0
Armenian,Social Policy,,*,*,0,0,0,0,0,0,0,*,*,0,*,*,*
Armenian,Sociology,,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Armenian,Sociology,,0,0,0,0,0,0,*,*,*,0,0,0,*,0,0
Armenian,Statistics,,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenian,Statistics,,*,0,0,*,0,0,0,0,0,0,0,0,0,0,0
Australian,Accounting,,10,*,0,5,*,*,6,0,0,9,*,0,13,*,0
Australian,Accounting,,*,*,0,*,*,*,*,*,0,*,*,*,*,0,0
Australian,Anthropology,,6,*,*,0,0,0,*,*,*,7,*,*,5,*,*
Australian,Anthropology,,*,0,0,*,*,*,0,0,0,*,*,0,*,*,0
Australian,Economic History,,*,*,*,6,*,*,8,*,*,*,*,0,6,0,0
Australian,Economic History,,*,*,*,*,0,0,0,0,0,*,*,*,9,*,*
Australian,Economics,,19,*,*,37,*,*,26,*,*,19,*,0,23,*,*
Australian,Economics,,18,9,*,7,*,*,14,5,*,8,*,*,13,7,*
Australian,European Institute,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0
Australian,Finance,,6,*,*,*,0,0,*,0,0,5,0,0,13,*,0
Australian,Finance,,13,*,*,12,*,0,9,*,*,11,*,*,9,*,*
Australian,Gender Studies,,6,*,0,7,*,*,9,*,*,5,*,*,*,*,0
Australian,Geography and Environment,,6,0,0,6,*,0,*,0,0,5,*,0,5,0,0
Australian,Geography and Environment,,9,5,*,13,7,*,13,5,0,21,8,*,21,7,*
Australian,Government,,14,*,*,19,*,0,17,5,*,24,*,0,14,*,*
Australian,Government,,24,10,*,20,11,8,21,*,*,7,*,*,12,5,0
Australian,Health Policy,,*,0,0,*,*,*,*,*,*,*,0,0,7,*,*
Australian,International Development,,11,5,*,12,6,*,12,*,*,5,*,*,8,*,*
Australian,International History,,*,*,*,7,*,*,*,0,0,13,*,0,7,*,*
Australian,International History,,*,*,*,*,*,*,5,*,*,*,*,*,8,5,*
Australian,International Relations,,*,0,0,*,*,0,*,*,0,*,*,0,*,0,0
Australian,International Relations,,10,5,*,8,*,*,17,5,*,17,7,*,11,*,*
Australian,Language C..,,*,0,0,*,*,0,*,0,0,*,*,0,*,*,0
Australian,Law School,,30,6,*,28,9,*,26,*,*,21,7,*,36,7,*
Australian,Law School,,38,24,12,40,23,*,31,25,8,32,23,13,41,32,11
Australian,Management,,*,0,0,6,*,0,8,*,*,5,0,0,10,*,*
Australian,Management,,17,6,*,15,*,0,16,*,*,9,*,0,8,5,*
Australian,Mathematics,,11,*,*,5,0,0,6,0,0,*,0,0,9,*,0
Australian,Mathematics,,*,0,0,5,0,0,*,0,0,*,*,0,0,0,0
Australian,Media and Communications,,12,*,*,8,6,*,8,*,*,7,*,*,12,6,*
Australian,Methodology,,*,0,0,8,*,0,*,0,0,*,*,0,*,*,*
Australian,"Philosophy, Logic and Scientific Method",,12,*,*,27,5,*,20,*,*,23,*,0,15,*,0
Australian,"Philosophy, Logic and Scientific Method",,8,5,*,*,*,0,*,*,0,*,*,0,*,*,0
Australian,Psychological and Behavio..,,5,0,0,*,0,0,7,0,0,12,*,*,8,*,*
Australian,Psychological and Behavio..,,8,5,*,15,5,*,19,8,5,14,6,*,9,6,*
Australian,School of Public Policy,,13,10,5,8,7,*,10,7,*,21,14,5,20,10,*
Australian,Social Policy,,*,0,0,6,0,0,11,*,0,7,0,0,10,*,*
Australian,Social Policy,,10,*,*,7,6,*,*,*,*,7,*,0,*,*,*
Australian,Sociology,,*,0,0,*,0,0,*,0,0,*,*,0,*,0,0
Australian,Sociology,,7,*,0,11,*,*,*,0,0,9,5,*,9,5,*
Australian,Statistics,,6,*,*,0,0,0,6,0,0,*,0,0,9,*,*
Australian,Statistics,,5,0,0,5,*,0,*,*,0,*,0,0,0,0,0
Austrian,Accounting,,7,0,0,6,0,0,*,0,0,6,0,0,8,0,0
Austrian,Accounting,,8,*,*,5,*,0,5,*,0,10,*,*,*,*,*
Austrian,Anthropology,,*,*,0,*,*,0,*,0,0,*,*,*,0,0,0
Austrian,Anthropology,,0,0,0,*,*,*,0,0,0,*,0,0,0,0,0
Austrian,Economic History,,5,*,*,*,0,0,0,0,0,*,*,*,5,0,0
Austrian,Economic History,,*,*,*,*,*,*,*,0,0,*,*,0,*,*,*
Austrian,Economics,,16,0,0,12,0,0,10,0,0,16,0,0,9,*,0
Austrian,Economics,,12,7,*,9,6,*,7,*,*,*,*,*,*,*,*
Austrian,European Institute,,11,*,5,7,5,*,12,7,*,15,9,*,7,*,*
Austrian,Finance,,5,*,0,*,0,0,6,*,*,5,*,*,10,5,*
Austrian,Finance,,20,*,*,18,6,*,22,9,*,28,12,*,13,*,*
Austrian,Gender Studies,,0,0,0,*,*,*,*,0,0,*,0,0,*,*,*
Austrian,Geography and Environment,,*,*,*,*,0,0,*,0,0,*,*,*,*,*,0
Austrian,Geography and Environment,,13,*,*,7,*,*,8,*,*,28,6,*,20,7,5
Austrian,Government,,12,*,0,10,*,*,7,0,0,8,0,0,7,0,0
Austrian,Government,,10,*,0,10,*,*,8,*,*,5,*,*,13,9,*
Austrian,Health Policy,,*,*,*,*,*,*,*,0,0,*,*,0,0,0,0
Austrian,International Development,,9,*,*,6,*,*,11,5,*,12,8,5,9,*,*
Austrian,International History,,0,0,0,0,0,0,0,0,0,*,*,0,*,*,0
Austrian,International History,,*,*,*,*,*,*,*,0,0,*,*,*,0,0,0
Austrian,International Relations,,10,0,0,*,0,0,*,0,0,*,0,0,*,0,0
Austrian,International Relations,,20,9,8,9,*,*,9,*,*,*,*,0,9,5,0
Austrian,Language C..,,0,0,0,*,0,0,0,0,0,0,0,0,*,*,0
Austrian,Law School,,8,0,0,9,*,*,6,0,0,8,0,0,*,0,0
Austrian,Law School,,16,9,7,13,6,*,12,6,*,13,*,*,10,6,*
Austrian,Management,,16,*,*,11,*,*,14,*,0,8,*,*,15,0,0
Austrian,Management,,26,11,5,23,11,*,21,6,*,22,8,*,16,9,*
Austrian,Mathematics,,*,0,0,0,0,0,*,0,0,0,0,0,*,0,0
Austrian,Mathematics,,*,0,0,*,0,0,0,0,0,*,0,0,*,*,*
Austrian,Media and Communications,,6,*,*,7,*,*,*,*,*,*,0,0,*,*,0
Austrian,Methodology,,*,0,0,*,0,0,*,0,0,*,*,*,0,0,0
Austrian,"Philosophy, Logic and Scientific Method",,16,0,0,9,0,0,10,0,0,8,*,*,7,0,0
Austrian,"Philosophy, Logic and Scientific Method",,*,*,0,*,*,*,*,*,*,6,*,0,*,0,0
Austrian,Psychological and Behavio..,,0,0,0,*,*,*,*,0,0,*,0,0,*,0,0
Austrian,Psychological and Behavio..,,13,*,0,13,6,*,9,*,0,10,*,*,7,*,*
Austrian,School of Public Policy,,*,*,*,*,*,0,0,0,0,*,0,0,7,*,*
Austrian,Social Policy,,5,*,0,0,0,0,*,0,0,*,0,0,*,0,0
Austrian,Social Policy,,*,*,*,5,*,*,*,*,0,*,0,0,6,*,*
