Nationality,EU,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022,Applications 2023,Offers 2023,Entrances 2023
Albanian, ,Government,PG Taught,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0,2.5,0.0,0.0
Albanian, ,International Development,PG Taught,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5
Albanian, ,International Relations,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Albanian, ,International Relations,PG Taught,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,2.5,2.5,0.0,0.0
Albanian, ,Law School,UG Degree,2.5,0.0,0.0,2.5,0.0,0.0,8.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0
Albanian, ,Law School,PG Taught,2.5,2.5,0.0,2.5,0.0,0.0,2.5,2.5,0.0,2.5,0.0,0.0,2.5,2.5,0.0
Albanian, ,Management,UG Degree,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0
Albanian, ,Management,PG Taught,6.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5
Albanian, ,Mathematics,UG Degree,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Albanian, ,Mathematics,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,2.5,2.5,0.0
Albanian, ,Media And Communications,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0,2.5,0.0,0.0
Albanian, ,Methodology,PG Taught,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0
Albanian, ,Philosophy Logic And Scientific Method,UG Degree,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0
Albanian, ,Philosophy Logic And Scientific Method,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Albanian, ,Psychological And Behavioural Science,PG Taught,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0
Albanian, ,School of Public Policy,PG Taught,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5
Albanian, ,Social Policy,UG Degree,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Albanian, ,Social Policy,PG Taught,2.5,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0
Albanian, ,Sociology,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Albanian, ,Sociology,PG Taught,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,0.0,0.0,0.0
Albanian, ,Statistics,UG Degree,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0
Albanian, ,Statistics,PG Taught,0.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Algerian, ,Accounting,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Algerian, ,Accounting,PG Taught,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algerian, ,Economic History,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algerian, ,Economic History,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Algerian, ,Economics,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Algerian, ,Economics,PG Taught,0.0,0.0,0.0,2.5,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Algerian, ,European Institute,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0
Algerian, ,Finance,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0
Algerian, ,Finance,PG Taught,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0
Algerian, ,Gender Studies,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0
Algerian, ,Geography And Environment,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.5
Algerian, ,Geography And Environment,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5
Algerian, ,Government,UG Degree,2.5,2.5,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Algerian, ,Government,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5
Algerian, ,Health Policy,PG Taught,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algerian, ,International Development,PG Taught,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Algerian, ,International History,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Algerian, ,International Relations,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algerian, ,International Relations,PG Taught,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Algerian, ,Law School,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5
Algerian, ,Management,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0
Algerian, ,Management,PG Taught,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0
Algerian, ,Mathematics,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Algerian, ,Mathematics,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Algerian, ,Media And Communications,PG Taught,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algerian, ,Philosophy Logic And Scientific Method,UG Degree,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algerian, ,Sociology,PG Taught,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Algerian, ,Statistics,UG Degree,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
American, ,Accounting,UG Degree,19.0,0.0,0.0,21.0,2.5,0.0,24.0,2.5,2.5,25.0,2.5,0.0,23.0,2.5,0.0
American, ,Accounting,PG Taught,25.0,13.0,5.0,14.0,10.0,2.5,9.0,2.5,2.5,8.0,5.0,2.5,14.0,6.0,2.5
American, ,Anthropology,UG Degree,15.0,2.5,0.0,16.0,7.0,2.5,15.0,2.5,2.5,21.0,6.0,0.0,12.0,2.5,0.0
American, ,Anthropology,PG Taught,38.0,21.0,8.0,48.0,27.0,8.0,54.0,39.0,12.0,47.0,29.0,10.0,29.0,19.0,11.0
American, ,Economic History,UG Degree,26.0,2.5,2.5,17.0,2.5,2.5,28.0,2.5,2.5,22.0,2.5,2.5,24.0,5.0,2.5
American, ,Economic History,PG Taught,32.0,18.0,6.0,41.0,18.0,10.0,41.0,21.0,12.0,32.0,17.0,10.0,31.0,15.0,10.0
American, ,Economics,UG Degree,73.0,2.5,0.0,104.0,2.5,2.5,117.0,2.5,2.5,101.0,2.5,0.0,102.0,2.5,0.0
American, ,Economics,PG Taught,139.0,29.0,11.0,112.0,32.0,12.0,127.0,32.0,11.0,93.0,28.0,9.0,88.0,29.0,9.0
American, ,European Institute,PG Taught,91.0,48.0,22.0,83.0,60.0,36.0,111.0,57.0,24.0,63.0,36.0,14.0,79.0,51.0,30.0
American, ,Finance,UG Degree,17.0,6.0,2.5,25.0,7.0,2.5,35.0,2.5,2.5,38.0,8.0,2.5,50.0,6.0,2.5
American, ,Finance,PG Taught,86.0,10.0,8.0,70.0,9.0,2.5,59.0,10.0,2.5,52.0,9.0,2.5,68.0,5.0,2.5
American, ,Gender Studies,PG Taught,103.0,49.0,20.0,95.0,49.0,20.0,100.0,49.0,24.0,68.0,34.0,20.0,72.0,45.0,24.0
American, ,Geography And Environment,UG Degree,16.0,0.0,0.0,23.0,2.5,2.5,42.0,2.5,0.0,36.0,2.5,0.0,32.0,2.5,2.5
American, ,Geography And Environment,PG Taught,185.0,65.0,28.0,184.0,80.0,29.0,253.0,94.0,34.0,174.0,76.0,39.0,230.0,100.0,42.0
American, ,Government,UG Degree,131.0,2.5,2.5,116.0,9.0,2.5,170.0,2.5,2.5,123.0,10.0,2.5,118.0,12.0,5.0
American, ,Government,PG Taught,234.0,74.0,41.0,223.0,79.0,32.0,280.0,88.0,46.0,200.0,71.0,33.0,148.0,62.0,34.0
American, ,Health Policy,PG Taught,60.0,37.0,15.0,77.0,56.0,25.0,97.0,63.0,40.0,79.0,48.0,25.0,73.0,41.0,24.0
American, ,International Development,PG Taught,218.0,82.0,44.0,240.0,112.0,61.0,227.0,106.0,60.0,202.0,100.0,59.0,213.0,100.0,56.0
American, ,International History,UG Degree,34.0,2.5,2.5,55.0,9.0,2.5,46.0,2.5,2.5,66.0,12.0,2.5,56.0,8.0,5.0
American, ,International History,PG Taught,89.0,60.0,39.0,68.0,45.0,41.0,119.0,63.0,37.0,85.0,55.0,41.0,79.0,44.0,42.0
American, ,International Relations,UG Degree,49.0,7.0,2.5,62.0,13.0,2.5,69.0,2.5,0.0,50.0,7.0,2.5,49.0,10.0,2.5
American, ,International Relations,PG Taught,293.0,72.0,35.0,226.0,85.0,32.0,266.0,64.0,32.0,218.0,67.0,36.0,224.0,92.0,44.0
American, ,Language Centre,UG Degree,18.0,0.0,0.0,19.0,5.0,2.5,28.0,9.0,2.5,12.0,5.0,0.0,21.0,2.5,2.5
American, ,Law School,UG Degree,59.0,7.0,2.5,53.0,9.0,2.5,68.0,7.0,2.5,64.0,2.5,0.0,73.0,7.0,2.5
American, ,Law School,PG Taught,29.0,12.0,2.5,30.0,9.0,2.5,39.0,9.0,2.5,29.0,13.0,6.0,23.0,9.0,2.5
American, ,Management,UG Degree,28.0,2.5,2.5,41.0,2.5,0.0,35.0,2.5,0.0,58.0,2.5,0.0,39.0,2.5,0.0
American, ,Management,PG Taught,195.0,64.0,33.0,172.0,62.0,30.0,156.0,60.0,28.0,100.0,43.0,22.0,121.0,40.0,21.0
American, ,Mathematics,UG Degree,27.0,2.5,2.5,28.0,2.5,2.5,42.0,2.5,2.5,36.0,0.0,0.0,54.0,2.5,0.0
American, ,Mathematics,PG Taught,36.0,12.0,2.5,28.0,8.0,2.5,23.0,6.0,0.0,28.0,6.0,2.5,26.0,7.0,2.5
American, ,Media And Communications,PG Taught,175.0,82.0,44.0,181.0,83.0,44.0,213.0,97.0,47.0,145.0,72.0,40.0,134.0,67.0,34.0
American, ,Methodology,PG Taught,50.0,13.0,7.0,66.0,23.0,2.5,52.0,23.0,15.0,48.0,17.0,6.0,51.0,16.0,9.0
American, ,Philosophy Logic And Scientific Method,UG Degree,85.0,9.0,2.5,92.0,7.0,2.5,107.0,0.0,0.0,93.0,7.0,2.5,112.0,7.0,2.5
American, ,Philosophy Logic And Scientific Method,PG Taught,34.0,11.0,2.5,51.0,18.0,9.0,56.0,22.0,14.0,45.0,24.0,11.0,36.0,21.0,12.0
American, ,Psychological And Behavioural Science,UG Degree,10.0,2.5,0.0,23.0,6.0,0.0,22.0,2.5,0.0,20.0,0.0,0.0,20.0,2.5,2.5
American, ,Psychological And Behavioural Science,PG Taught,125.0,41.0,23.0,125.0,38.0,22.0,148.0,51.0,22.0,90.0,38.0,28.0,120.0,51.0,32.0
American, ,School of Public Policy,PG Taught,130.0,60.0,23.0,99.0,38.0,9.0,130.0,55.0,21.0,100.0,47.0,15.0,133.0,56.0,16.0
American, ,Social Policy,UG Degree,53.0,2.5,2.5,46.0,5.0,0.0,83.0,2.5,2.5,60.0,2.5,0.0,58.0,2.5,2.5
American, ,Social Policy,PG Taught,144.0,52.0,35.0,97.0,48.0,21.0,121.0,60.0,26.0,103.0,54.0,28.0,88.0,40.0,21.0
American, ,Sociology,UG Degree,6.0,0.0,0.0,9.0,0.0,0.0,11.0,2.5,0.0,8.0,0.0,0.0,10.0,2.5,2.5
American, ,Sociology,PG Taught,182.0,77.0,39.0,181.0,100.0,40.0,239.0,86.0,42.0,156.0,62.0,28.0,142.0,68.0,35.0
American, ,Statistics,UG Degree,11.0,2.5,0.0,20.0,2.5,0.0,26.0,2.5,0.0,28.0,2.5,0.0,33.0,2.5,2.5
American, ,Statistics,PG Taught,93.0,11.0,2.5,55.0,8.0,2.5,68.0,6.0,2.5,47.0,10.0,2.5,50.0,8.0,5.0
Andorran, ,Gender Studies,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0
Andorran, ,Government,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorran, ,International Relations,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0
Andorran, ,Law School,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Andorran, ,Management,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0
Andorran, ,Sociology,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0
Angolan, ,Anthropology,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,2.5,2.5,0.0
Angolan, ,Economic History,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Angolan, ,Economics,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angolan, ,Finance,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Angolan, ,Geography And Environment,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Angolan, ,Geography And Environment,PG Taught,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Angolan, ,Government,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Angolan, ,Government,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Angolan, ,Health Policy,PG Taught,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angolan, ,International Development,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Angolan, ,International Relations,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Angolan, ,Language Centre,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angolan, ,Law School,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angolan, ,Mathematics,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angolan, ,Philosophy Logic And Scientific Method,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angolan, ,School Of Public Policy,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Angolan, ,Social Policy,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angolan, ,Sociology,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Angolan, ,Statistics,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0
Anguilla, ,Accounting,PG Taught,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla, ,Law School,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antiguan, ,Gender Studies,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0
Antiguan, ,Geography And Environment,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antiguan, ,Government,UG Degree,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antiguan, ,International Development,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0
Antiguan, ,International Relations,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antiguan, ,Law School,UG Degree,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0
Antiguan, ,Management,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
