Nationality,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022,Applications 2023,Offers 2023,Entrances 2023
Angolan,Geography and Environment,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Angolan,Geography and Environment,PG Taught,0,0,0,*,0,0,0,0,0,*,0,0,0,0,0
Angolan,Government,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Angolan,Government,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Angolan,Health Policy,PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
Angolan,International Development,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Angolan,International Development,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Angolan,Language C..,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angolan,Law School Management,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angolan,Law School Management,PG Taught,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0
Angolan,Mathematics,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Angolan,"Philosophy, .. School of Pu..",UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Angolan,"Philosophy, .. School of Pu..",PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Angolan,Social Policy Sociology,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angolan,Social Policy Sociology,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Angolan,Statistics,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,*,0,0
Anguilla,Accounting,PG Taught,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0
Anguilla,Law School Gender Stud..,UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Antiguan,Law School Gender Stud..,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
Antiguan,Geography ..,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Antiguan,Government International..,UG Degree,0,0,0,*,0,0,*,0,0,0,0,0,0,0,0
Antiguan,Government International..,PG Taught,0,0,0,0,0,0,*,*,*,*,0,0,*,0,0
Antiguan,International Development,UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Antiguan,Law School,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,*,0,0
Antiguan,Management,UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Antiguan,Management,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Antiguan,Psychological and Behavioural Sciences,PG Taught,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0
Antiguan,Sociology,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Argentinian,Accounting,UG Degree,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0
Argentinian,Anthropology,UG Degree,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0
Argentinian,Anthropology,PG Taught,*,*,0,0,0,0,0,0,0,*,*,0,*,*,0
Argentinian,Economic Hi..,PG Taught,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0
Argentinian,Economics,UG Degree,*,0,0,*,0,0,*,0,0,*,0,0,*,0,0
Argentinian,Economics,PG Taught,*,0,0,*,*,0,0,0,0,*,*,0,*,*,0
Argentinian,European Institute,PG Taught,0,0,0,*,0,0,*,*,0,*,*,0,0,0,0
Argentinian,Finance,UG Degree,0,0,0,*,0,0,*,0,0,*,0,0,0,0,0
Argentinian,Finance,PG Taught,*,0,0,5,*,*,*,*,0,*,0,0,*,*,0
Argentinian,Gender Studies,PG Taught,0,0,0,*,*,*,*,*,0,*,*,*,9,5,0
Argentinian,Geography ..,PG Taught,6,*,0,12,5,*,*,*,0,7,*,0,6,*,*
Argentinian,Government,UG Degree,*,0,0,*,0,0,*,0,0,*,0,0,*,0,0
Argentinian,Government,PG Taught,14,5,*,7,*,0,*,*,0,*,0,0,*,*,0
Argentinian,Health Policy,PG Taught,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0
Argentinian,International Development,PG Taught,*,*,*,6,*,0,6,*,0,6,*,0,12,6,*
Argentinian,International History,UG Degree,*,*,0,0,0,0,0,0,0,*,0,0,*,*,0
Argentinian,International History,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
Argentinian,International Relations,UG Degree,*,0,0,*,0,0,*,*,*,*,0,0,0,0,0
Argentinian,International Relations,PG Taught,*,*,*,*,*,0,5,*,*,*,0,0,*,*,0
Argentinian,Language C..,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
Argentinian,Law School,UG Degree,*,*,0,*,0,0,*,0,0,*,0,0,*,0,0
Argentinian,Law School,PG Taught,17,7,*,18,7,*,15,10,*,15,9,*,13,10,*
Argentinian,Management,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,*,0,0
Argentinian,Management,PG Taught,8,*,*,8,*,*,13,8,*,9,7,*,*,*,*
Argentinian,Mathematics,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
Argentinian,Media and Communications,PG Taught,7,*,*,7,*,*,9,*,*,*,*,0,*,0,0
Argentinian,Methodology,PG Taught,7,*,*,7,*,0,*,*,0,*,*,*,*,*,0
Argentinian,"Philosophy, Logic and Scientific Method",UG Degree,*,0,0,0,0,0,*,0,0,*,0,0,*,0,0
Argentinian,"Philosophy, Logic and Scientific Method",PG Taught,*,0,0,*,0,0,*,0,0,*,*,0,0,0,0
Argentinian,Psychological and Behavioural Sciences,PG Taught,5,*,*,9,*,0,*,0,0,*,0,0,5,0,0
Argentinian,School of Public Policy,PG Taught,11,6,*,14,9,*,5,*,*,*,*,0,7,5,*
Argentinian,Social Policy,UG Degree,*,0,0,*,0,0,0,0,0,0,0,0,*,0,0
Argentinian,Social Policy,PG Taught,8,*,*,6,*,*,*,*,*,*,*,0,*,*,0
Argentinian,Sociology,UG Degree,*,*,*,0,0,0,*,*,*,0,0,0,0,0,0
Argentinian,Sociology,PG Taught,6,*,0,6,*,*,*,*,*,7,*,*,*,*,0
Argentinian,Statistics,PG Taught,*,0,0,*,*,*,*,0,0,*,*,0,0,0,0
Armenian,Accounting,UG Degree,*,0,0,*,0,0,0,0,0,0,0,0,*,0,0
Armenian,Accounting,PG Taught,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenian,Anthropology,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Armenian,Anthropology,PG Taught,*,*,0,0,0,0,0,0,0,*,*,0,0,0,0
Armenian,Economics,UG Degree,*,*,0,*,0,0,*,0,0,10,*,*,*,0,0
Armenian,Economics,PG Taught,*,*,*,5,*,0,0,0,0,0,0,0,0,0,0
Armenian,European Institute,PG Taught,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenian,Finance,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,*,0,0
Armenian,Finance,PG Taught,*,*,0,5,*,0,*,0,0,0,0,0,*,0,0
Armenian,Gender Studies,PG Taught,0,0,0,0,0,0,*,*,*,0,0,0,*,*,0
Armenian,Geography ..,PG Taught,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenian,Government,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,*,0,0
Armenian,Government,PG Taught,6,*,*,*,0,0,*,0,0,*,*,0,*,*,*
Armenian,Health Policy,PG Taught,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0
Armenian,International Development,PG Taught,7,*,*,*,*,0,7,5,*,*,*,*,*,*,0
Armenian,International Development,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Armenian,International Development,PG Taught,6,*,*,*,*,0,0,0,0,*,0,0,0,0,0
Armenian,Law School,UG Degree,*,*,0,*,0,0,0,0,0,*,*,0,*,0,0
Armenian,Law School,PG Taught,0,0,0,*,*,0,*,*,0,*,*,0,0,0,0
Armenian,Management,UG Degree,*,*,0,0,0,0,0,0,0,*,0,0,0,0,0
Armenian,Management,PG Taught,*,*,*,5,*,*,5,*,*,*,*,*,*,0,0
Armenian,Mathematics,UG Degree,0,0,0,*,0,0,0,0,0,*,0,0,0,0,0
Armenian,Mathematics,PG Taught,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenian,Media and Communications,PG Taught,*,*,*,*,0,0,0,0,0,0,0,0,*,*,0
Armenian,Methodology,PG Taught,*,0,0,*,0,0,0,0,0,0,0,0,0,0,0
Armenian,"Philosophy, Logic and Scientific Method",UG Degree,*,*,0,*,0,0,0,0,0,0,0,0,*,0,0
Armenian,"Philosophy, Logic and Scientific Method",PG Taught,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0
Armenian,Psychological and Behavioural Sciences,PG Taught,*,0,0,0,0,0,0,0,0,0,0,0,*,*,0
Armenian,School of Public Policy,PG Taught,5,*,0,*,*,*,0,0,0,0,0,0,0,0,0
Armenian,Social Policy,UG Degree,*,0,0,*,0,0,0,0,0,*,*,0,0,0,0
Armenian,Social Policy,PG Taught,*,*,0,0,0,0,0,0,0,*,*,0,*,*,*
Armenian,Sociology,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
Armenian,Sociology,PG Taught,0,0,0,0,0,0,*,*,*,0,0,0,*,0,0
Armenian,Statistics,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenian,Statistics,PG Taught,*,0,0,*,0,0,0,0,0,0,0,0,0,0,0
Australian,Accounting,UG Degree,10,*,0,5,*,*,6,0,0,9,*,0,13,*,0
Australian,Accounting,PG Taught,*,*,0,*,*,*,*,*,0,*,*,*,*,0,0
Australian,Anthropology,UG Degree,6,*,*,0,0,0,*,*,*,7,*,*,5,*,*
Australian,Anthropology,PG Taught,*,0,0,*,*,*,0,0,0,*,*,0,*,*,0
Australian,Economic History,UG Degree,*,*,*,6,*,*,8,*,*,*,*,0,6,0,0
Australian,Economic History,PG Taught,*,*,*,*,0,0,0,0,0,*,*,*,9,*,*
Australian,Economics,UG Degree,19,*,*,37,*,*,26,*,*,19,*,0,23,*,*
Australian,Economics,PG Taught,18,9,*,7,*,*,14,5,*,8,*,*,13,7,*
Australian,European Institute,PG Taught,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0
Australian,Finance,UG Degree,6,*,*,*,0,0,*,0,0,5,0,0,13,*,0
Australian,Finance,PG Taught,13,*,*,12,*,0,9,*,*,11,*,*,9,*,*
Australian,Gender Studies,PG Taught,6,*,0,7,*,*,9,*,*,5,*,*,*,*,0
Australian,Geography and Environment,UG Degree,6,0,0,6,*,0,*,0,0,5,*,0,5,0,0
Australian,Geography and Environment,PG Taught,9,5,*,13,7,*,13,5,0,21,8,*,21,7,*
Australian,Government,UG Degree,14,*,*,19,*,0,17,5,*,24,*,0,14,*,*
Australian,Government,PG Taught,24,10,*,20,11,8,21,*,*,7,*,*,12,5,0
Australian,Health Policy,PG Taught,*,0,0,*,*,*,*,*,*,*,0,0,7,*,*
Australian,International Development,PG Taught,11,5,*,12,6,*,12,*,*,5,*,*,8,*,*
Australian,International History,UG Degree,*,*,*,7,*,*,*,0,0,13,*,0,7,*,*
Australian,International History,PG Taught,*,*,*,*,*,*,5,*,*,*,*,*,8,5,*
Australian,International Relations,UG Degree,*,0,0,*,*,0,*,*,0,*,*,0,*,0,0
Australian,International Relations,PG Taught,10,5,*,8,*,*,17,5,*,17,7,*,11,*,*
Australian,Language C..,UG Degree,*,0,0,*,*,0,*,0,0,*,*,0,*,*,0
Australian,Law School,UG Degree,30,6,*,28,9,*,26,*,*,21,7,*,36,7,*
Australian,Law School,PG Taught,38,24,12,40,23,*,31,25,8,32,23,13,41,32,11
Australian,Management,UG Degree,*,0,0,6,*,0,8,*,*,5,0,0,10,*,*
Australian,Management,PG Taught,17,6,*,15,*,0,16,*,*,9,*,0,8,5,*
Australian,Mathematics,UG Degree,11,*,*,5,0,0,6,0,0,*,0,0,9,*,0
Australian,Mathematics,PG Taught,*,0,0,5,0,0,*,0,0,*,*,0,0,0,0
Australian,Media and Communications,PG Taught,12,*,*,8,6,*,8,*,*,7,*,*,12,6,*
Australian,Methodology,PG Taught,*,0,0,8,*,0,*,0,0,*,*,0,*,*,*
Australian,"Philosophy, Logic and Scientific Method",UG Degree,12,*,*,27,5,*,20,*,*,23,*,0,15,*,0
Australian,"Philosophy, Logic and Scientific Method",PG Taught,8,5,*,*,*,0,*,*,0,*,*,0,*,*,0
Australian,Psychological and Behavio..,UG Degree,5,0,0,*,0,0,7,0,0,12,*,*,8,*,*
Australian,Psychological and Behavio..,PG Taught,8,5,*,15,5,*,19,8,5,14,6,*,9,6,*
Australian,School of Public Policy,PG Taught,13,10,5,8,7,*,10,7,*,21,14,5,20,10,*
Australian,Social Policy,UG Degree,*,0,0,6,0,0,11,*,0,7,0,0,10,*,*
Australian,Social Policy,PG Taught,10,*,*,7,6,*,*,*,*,7,*,0,*,*,*
Australian,Sociology,UG Degree,*,0,0,*,0,0,*,0,0,*,*,0,*,0,0
Australian,Sociology,PG Taught,7,*,0,11,*,*,*,0,0,9,5,*,9,5,*
Australian,Statistics,UG Degree,6,*,*,0,0,0,6,0,0,*,0,0,9,*,*
Australian,Statistics,PG Taught,5,0,0,5,*,0,*,*,0,*,0,0,0,0,0
Austrian,Accounting,UG Degree,7,0,0,6,0,0,*,0,0,6,0,0,8,0,0
Austrian,Accounting,PG Taught,8,*,*,5,*,0,5,*,0,10,*,*,*,*,*
