Nationality,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022
,Logic and S.. PG Taught 0 0 0 0 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Psychologic.. PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,School of Pu.. PG Taught 5 * 0 * *,0 * *,0 5 *,0 * *,0,,,,,,,,,
,Social Policy UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * *,0 0 0,0 * 0,0 * *,0,,,,,,,,,
,Sociology PG Taught 0 0 0 * *,* 0 0,0 6 *,* * 0,0,,,,,,,,,
,Statistics UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 * 0,0 * *,0,,,,,,,,,
Albanian,Accounting UG Degree 7 0 0 * 0,0 6 *,0 8 *,0 * 0,0,,,,,,,,,
,PG Taught * * * * *,* * *,0 * *,* * *,*,,,,,,,,,
,Anthropology UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,Economic UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,History PG Taught 0 0 0 0 0,0 0 0,0 * *,0 * *,0,,,,,,,,,
,Economics UG Degree 5 0 0 6 *,* * *,* * 0,0 * 0,0,,,,,,,,,
,PG Taught * * 0 * 0,0 * 0,0 * *,0 * *,0,,,,,,,,,
,European In.. PG Taught * 0 0 5 *,* 0 0,0 * 0,0 * *,0,,,,,,,,,
,Finance UG Degree 0 0 0 * 0,0 * 0,0 * *,0 * 0,0,,,,,,,,,
,PG Taught 5 * * 6 0,0 8 0,0 6 *,0 0 0,0,,,,,,,,,
,Geography UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,and Environ.. PG Taught * 0 0 0 0,0 * *,0 * *,0 0 0,0,,,,,,,,,
,Government UG Degree * * 0 * *,* * 0,0 * 0,0 * *,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 * 0,0 * *,0 * 0,0,,,,,,,,,
Albanian,International.. PG Taught * * * * 0,0 * *,0 * *,* * *,*,,,,,,,,,
,International UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Relations PG Taught * 0 0 0 0,0 * *,0 * *,* * 0,0,,,,,,,,,
,Law School UG Degree * 0 0 * 0,0 8 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * * 0 * 0,0 * *,0 * 0,0 * *,0,,,,,,,,,
,Management UG Degree 0 0 0 * 0,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,PG Taught 6 0 0 * 0,0 * 0,0 * *,* * *,*,,,,,,,,,
,Mathematics UG Degree * 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * *,0 * *,0 * *,0,,,,,,,,,
,Media and C.. PG Taught 0 0 0 0 0,0 * 0,0 * *,0 * 0,0,,,,,,,,,
,Methodology PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,"Philosophy, UG Degree * 0 0 * 0",0 * 0,0 * *,0 0 0,0,,,,,,,,,
,Logic and S.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Psychologic.. PG Taught 0 0 0 * *,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,School of Pu.. PG Taught * 0 0 0 0,0 0 0,0 * *,* * *,*,,,,,,,,,
,Social Policy UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * *,* * 0,0 * 0,0 * 0,0,,,,,,,,,
,Sociology UG Degree 0 0 0 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * *,* * *,0 * *,* 0 0,0,,,,,,,,,
,Statistics UG Degree * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,* * 0,0 * 0,0 0 0,0,,,,,,,,,
Algerian,Accounting UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economic UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,History PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Economics UG Degree * 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,European In.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Finance UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 0 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Geography UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,*,,,,,,,,,
,and Environ.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,Government UG Degree * * 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 * *,*,,,,,,,,,
,Health Policy PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 * *,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,International.. UG Degree 0 0 0 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,International UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Relations PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 * *,*,,,,,,,,,
,Management UG Degree * 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 * 0,0 0 0,0 * *,0,,,,,,,,,
,Mathematics UG Degree * 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught 0 0 0 * *,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,"Philosophy, .. UG Degree * 0 0 * 0",0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Sociology PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Statistics UG Degree * 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
American,Accounting UG Degree 19 0 0 21 *,0 24 *,* 25 *,0 23 *,0,,,,,,,,,
,PG Taught 25 13 5 14 10,* 9 *,* 8 5,* 14 6,*,,,,,,,,,
American,Anthropology UG Degree 15 * 0 16 7,* 15 *,* 21 6,0 12 *,0,,,,,,,,,
,PG Taught 38 21 8 48 27,8 54 39,12 47 29,10 29 19,11,,,,,,,,,
,Economic UG Degree 26 * * 17 *,* 28 *,* 22 *,* 24 5,*,,,,,,,,,
,History PG Taught 32 18 6 41 18,10 41 21,12 32 17,10 31 15,10,,,,,,,,,
,Economics UG Degree 73 * 0 104 *,* 117 *,* 101 *,0 102 *,0,,,,,,,,,
,PG Taught 139 29 11 112 32,12 127 32,11 93 28,9 88 29,9,,,,,,,,,
,European In.. PG Taught 91 48 22 83 60,36 111 57,24 63 36,14 79 51,30,,,,,,,,,
,Finance UG Degree 17 6 * 25 7,* 35 *,* 38 8,* 50 6,*,,,,,,,,,
,PG Taught 86 10 8 70 9,* 59 10,* 52 9,* 68 5,*,,,,,,,,,
,Gender Stud.. PG Taught 103 49 20 95 49,20 100 49,24 68 34,20 72 45,24,,,,,,,,,
,Geography UG Degree 16 0 0 23 *,* 42 *,0 36 *,0 32 *,*,,,,,,,,,
,and Environ.. PG Taught 185 65 28 184 80,29 253 94,34 174 76,39 230 100,42,,,,,,,,,
,Government UG Degree 131 * * 116 9,* 170 *,* 123 10,* 118 12,5,,,,,,,,,
,PG Taught 234 74 41 223 79,32 280 88,46 200 71,33 148 62,34,,,,,,,,,
,Health Policy PG Taught 60 37 15 77 56,25 97 63,40 79 48,25 73 41,24,,,,,,,,,
,International.. PG Taught 218 82 44 240 112,61 227 106,60 202 100,59 213 100,56,,,,,,,,,
,International UG Degree 34 * * 55 9,* 46 *,* 66 12,* 56 8,5,,,,,,,,,
,History PG Taught 89 60 39 68 45,41 119 63,37 85 55,41 79 44,42,,,,,,,,,
,International UG Degree 49 7 * 62 13,* 69 *,0 50 7,* 49 10,*,,,,,,,,,
,Relations PG Taught 293 72 35 226 85,32 266 64,32 218 67,36 224 92,44,,,,,,,,,
,Language C.. UG Degree 18 0 0 19 5,* 28 9,* 12 5,0 21 *,*,,,,,,,,,
,Law School UG Degree 59 7 * 53 9,* 68 7,* 64 *,0 73 7,*,,,,,,,,,
,PG Taught 29 12 * 30 9,* 39 9,* 29 13,6 23 9,*,,,,,,,,,
,Management UG Degree 28 * * 41 *,0 35 *,0 58 *,0 39 *,0,,,,,,,,,
,PG Taught 195 64 33 172 62,30 156 60,28 100 43,22 121 40,21,,,,,,,,,
,Mathematics UG Degree 27 * * 28 *,* 42 *,* 36 0,0 54 *,0,,,,,,,,,
,PG Taught 36 12 * 28 8,* 23 6,0 28 6,* 26 7,*,,,,,,,,,
,Media and C.. PG Taught 175 82 44 181 83,44 213 97,47 145 72,40 134 67,34,,,,,,,,,
,Methodology PG Taught 50 13 7 66 23,* 52 23,15 48 17,6 51 16,9,,,,,,,,,
,"Philosophy, UG Degree 85 9 * 92 7",* 107 0,0 93 7,* 112 7,*,,,,,,,,,
,Logic and S.. PG Taught 34 11 * 51 18,9 56 22,14 45 24,11 36 21,12,,,,,,,,,
,Psychological UG Degree 10 * 0 23 6,0 22 *,0 20 0,0 20 *,*,,,,,,,,,
,and Behavio.. PG Taught 125 41 23 125 38,22 148 51,22 90 38,28 120 51,32,,,,,,,,,
,School of Pu.. PG Taught 130 60 23 99 38,9 130 55,21 100 47,15 133 56,16,,,,,,,,,
,Social Policy UG Degree 53 * * 46 5,0 83 *,* 60 *,0 58 *,*,,,,,,,,,
,PG Taught 144 52 35 97 48,21 121 60,26 103 54,28 88 40,21,,,,,,,,,
,Sociology UG Degree 6 0 0 9 0,0 11 *,0 8 0,0 10 *,*,,,,,,,,,
,PG Taught 182 77 39 181 100,40 239 86,42 156 62,28 142 68,35,,,,,,,,,
,Statistics UG Degree 11 * 0 20 *,0 26 *,0 28 *,0 33 *,*,,,,,,,,,
,PG Taught 93 11 * 55 8,* 68 6,* 47 10,* 50 8,5,,,,,,,,,
Andorran,Gender Stud.. PG Taught 0 0 0 0 0,0 0 0,0 * *,* 0 0,0,,,,,,,,,
,Government UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. UG Degree 0 0 0 0 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Management PG Taught 0 0 0 0 0,0 * 0,0 * *,0 0 0,0,,,,,,,,,
,Sociology PG Taught 0 0 0 0 0,0 0 0,0 * *,* 0 0,0,,,,,,,,,
Angolan,Anthropology PG Taught 0 0 0 0 0,0 * *,0 0 0,0 * *,0,,,,,,,,,
,Economic Hi.. UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Economics PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Finance PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Geography UG Degree * 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Angolan,and Environ.. PG Taught 0 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Government UG Degree * 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Language C.. UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Management PG Taught * * * * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Mathematics PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,"Philosophy, .. UG Degree 0 0 0 0 0",0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,School of Pu.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Social Policy UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Sociology PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Statistics PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
Anguilla,Accounting PG Taught 0 0 0 * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
Antiguan,Gender Stud.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Geography .. PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Government UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 0 0,0 * *,* * 0,0 * 0,0,,,,,,,,,
,International.. UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree * 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,Management UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Psychologic.. PG Taught 0 0 0 0 0,0 0 0,0 * *,* 0 0,0,,,,,,,,,
,Sociology PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
Argentinian,Accounting UG Degree * * * * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Anthropology UG Degree 0 0 0 0 0,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * * 0 0 0,0 0 0,0 * *,0 * *,0,,,,,,,,,
,Economic Hi.. PG Taught * * * 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economics UG Degree * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * *,0 0 0,0 * *,0 * *,0,,,,,,,,,
,European In.. PG Taught 0 0 0 * 0,0 * *,0 * *,0 0 0,0,,,,,,,,,
,Finance UG Degree 0 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 5 *,* * *,0 * 0,0 * *,0,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 * *,* * *,0 * *,* 9 5,0,,,,,,,,,
,Geography .. PG Taught 6 * 0 12 5,* * *,0 7 *,0 6 *,*,,,,,,,,,
,Government UG Degree * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 14 5 * 7 *,0 * *,0 * 0,0 * *,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught * * * 6 *,0 6 *,0 6 *,0 12 6,*,,,,,,,,,
,International UG Degree * * 0 0 0,0 0 0,0 * 0,0 * *,0,,,,,,,,,
,History PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,International UG Degree * 0 0 * 0,0 * *,* * 0,0 0 0,0,,,,,,,,,
,Relations PG Taught * * * * *,0 5 *,* * 0,0 * *,0,,,,,,,,,
,Language C.. UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Law School UG Degree * * 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 17 7 * 18 7,* 15 10,* 15 9,* 13 10,*,,,,,,,,,
,Management UG Degree * 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 8 * * 8 *,* 13 8,* 9 7,* * *,*,,,,,,,,,
Argentinian,Mathematics PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Media and C.. PG Taught 7 * * 7 *,* 9 *,* * *,0 * 0,0,,,,,,,,,
,Methodology PG Taught 7 * * 7 *,0 * *,0 * *,* * *,0,,,,,,,,,
,"Philosophy, UG Degree * 0 0 0 0",0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Logic and S.. PG Taught * 0 0 * 0,0 * 0,0 * *,0 0 0,0,,,,,,,,,
,Psychologic.. PG Taught 5 * * 9 *,0 * 0,0 * 0,0 5 0,0,,,,,,,,,
,School of Pu.. PG Taught 11 6 * 14 9,* 5 *,* * *,0 7 5,*,,,,,,,,,
,Social Policy UG Degree * 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 8 * * 6 *,* * *,* * *,0 * *,0,,,,,,,,,
,Sociology UG Degree * * * 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,PG Taught 6 * 0 6 *,* * *,* 7 *,* * *,0,,,,,,,,,
,Statistics PG Taught * 0 0 * *,* * 0,0 * *,0 0 0,0,,,,,,,,,
Armenian,Accounting UG Degree * 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Anthropology UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * * 0 0 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Economics UG Degree * * 0 * 0,0 * 0,0 10 *,* * 0,0,,,,,,,,,
,PG Taught * * * 5 *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,European In.. PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Finance UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * * 0 5 *,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 0 0,0 * *,* 0 0,0 * *,0,,,,,,,,,
,Geography .. PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Government UG Degree * 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 6 * * * 0,0 * 0,0 * *,0 * *,*,,,,,,,,,
,Health Policy PG Taught * * * 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 7 * * * *,0 7 5,* * *,* * *,0,,,,,,,,,
,International.. PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 6 * * * *,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Law School UG Degree * * 0 * 0,0 0 0,0 * *,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,0 * *,0 * *,0 0 0,0,,,,,,,,,
,Management UG Degree * * 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * * * 5 *,* 5 *,* * *,* * 0,0,,,,,,,,,
,Mathematics UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught * * * * 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Methodology PG Taught * 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,"Philosophy, UG Degree * * 0 * 0",0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Logic and S.. PG Taught 0 0 0 0 0,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,Psychologic.. PG Taught * 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,School of Pu.. PG Taught 5 * 0 * *,* 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Social Policy UG Degree * 0 0 * 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,PG Taught * * 0 0 0,0 0 0,0 * *,0 * *,*,,,,,,,,,
,Sociology UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * *,* 0 0,0 * 0,0,,,,,,,,,
,Statistics UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
Australian,Accounting UG Degree 10 * 0 5 *,* 6 0,0 9 *,0 13 *,0,,,,,,,,,
,PG Taught * * 0 * *,* * *,0 * *,* * 0,0,,,,,,,,,
,Anthropology UG Degree 6 * * 0 0,0 * *,* 7 *,* 5 *,*,,,,,,,,,
,PG Taught * 0 0 * *,* 0 0,0 * *,0 * *,0,,,,,,,,,
Australian,Economic UG Degree * * * 6 *,* 8 *,* * *,0 6 0,0,,,,,,,,,
,History PG Taught * * * * 0,0 0 0,0 * *,* 9 *,*,,,,,,,,,
,Economics UG Degree 19 * * 37 *,* 26 *,* 19 *,0 23 *,*,,,,,,,,,
,PG Taught 18 9 * 7 *,* 14 5,* 8 *,* 13 7,*,,,,,,,,,
,European In.. PG Taught * * * * *,* * *,* * *,* * *,0,,,,,,,,,
,Finance UG Degree 6 * * * 0,0 * 0,0 5 0,0 13 *,0,,,,,,,,,
,PG Taught 13 * * 12 *,0 9 *,* 11 *,* 9 *,*,,,,,,,,,
,Gender Stud.. PG Taught 6 * 0 7 *,* 9 *,* 5 *,* * *,0,,,,,,,,,
,Geography UG Degree 6 0 0 6 *,0 * 0,0 5 *,0 5 0,0,,,,,,,,,
,and Environ.. PG Taught 9 5 * 13 7,* 13 5,0 21 8,* 21 7,*,,,,,,,,,
,Government UG Degree 14 * * 19 *,0 17 5,* 24 *,0 14 *,*,,,,,,,,,
,PG Taught 24 10 * 20 11,8 21 *,* 7 *,* 12 5,0,,,,,,,,,
,Health Policy PG Taught * 0 0 * *,* * *,* * 0,0 7 *,*,,,,,,,,,
,International.. PG Taught 11 5 * 12 6,* 12 *,* 5 *,* 8 *,*,,,,,,,,,
,International UG Degree * * * 7 *,* * 0,0 13 *,0 7 *,*,,,,,,,,,
,History PG Taught * * * * *,* 5 *,* * *,* 8 5,*,,,,,,,,,
,International UG Degree * 0 0 * *,0 * *,0 * *,0 * 0,0,,,,,,,,,
,Relations PG Taught 10 5 * 8 *,* 17 5,* 17 7,* 11 *,*,,,,,,,,,
,Language C.. UG Degree * 0 0 * *,0 * 0,0 * *,0 * *,0,,,,,,,,,
,Law School UG Degree 30 6 * 28 9,* 26 *,* 21 7,* 36 7,*,,,,,,,,,
,PG Taught 38 24 12 40 23,* 31 25,8 32 23,13 41 32,11,,,,,,,,,
,Management UG Degree * 0 0 6 *,0 8 *,* 5 0,0 10 *,*,,,,,,,,,
,PG Taught 17 6 * 15 *,0 16 *,* 9 *,0 8 5,*,,,,,,,,,
,Mathematics UG Degree 11 * * 5 0,0 6 0,0 * 0,0 9 *,0,,,,,,,,,
,PG Taught * 0 0 5 0,0 * 0,0 * *,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught 12 * * 8 6,* 8 *,* 7 *,* 12 6,*,,,,,,,,,
,Methodology PG Taught * 0 0 8 *,0 * 0,0 * *,0 * *,*,,,,,,,,,
,"Philosophy, UG Degree 12 * * 27 5",* 20 *,* 23 *,0 15 *,0,,,,,,,,,
,Logic and S.. PG Taught 8 5 * * *,0 * *,0 * *,0 * *,0,,,,,,,,,
,Psychological UG Degree 5 0 0 * 0,0 7 0,0 12 *,* 8 *,*,,,,,,,,,
,and Behavio.. PG Taught 8 5 * 15 5,* 19 8,5 14 6,* 9 6,*,,,,,,,,,
,School of Pu.. PG Taught 13 10 5 8 7,* 10 7,* 21 14,5 20 10,*,,,,,,,,,
