Nationality,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022,Applications 2023,Offers 2023,Entrances 2023,Acceptance Rate 2019,Entrance Rate 2019,Acceptance Rate 2020,Entrance Rate 2020,Acceptance Rate 2021,Entrance Rate 2021,Acceptance Rate 2022,Entrance Rate 2022,Acceptance Rate 2023,Entrance Rate 2023
Belgian,Gender Stud.. ,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,5.0,2.5,2.5,1.0,1.0,1.0,1.0,1.0,1.0,,,0.5,1.0
Belgian,Geography  and Environ.. ,UG Degree,2.5,2.5,0.0,6.0,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,1.0,0.0,0.4166666666666667,1.0,0.0,,0.0,,1.0,1.0
Belgian,Geography  and Environ.. ,PG Taught,6.0,2.5,2.5,9.0,2.5,0.0,11.0,5.0,2.5,7.0,2.5,2.5,16.0,5.0,2.5,0.4166666666666667,1.0,0.2777777777777778,0.0,0.45454545454545453,0.5,0.35714285714285715,1.0,0.3125,0.5
Belgian,Government  ,UG Degree,13.0,2.5,2.5,10.0,2.5,0.0,12.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,0.0,0.19230769230769232,1.0,0.25,0.0,0.0,,0.0,,0.0,
Belgian,Government  ,PG Taught,7.0,2.5,0.0,2.5,0.0,0.0,5.0,2.5,2.5,9.0,2.5,2.5,2.5,2.5,0.0,0.35714285714285715,0.0,0.0,,0.5,1.0,0.2777777777777778,1.0,1.0,0.0
Belgian,Health Policy ,PG Taught,6.0,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,0.4166666666666667,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0
Belgian,International.. ,PG Taught,2.5,2.5,2.5,5.0,2.5,2.5,12.0,2.5,2.5,7.0,2.5,2.5,10.0,6.0,5.0,1.0,1.0,0.5,1.0,0.20833333333333334,1.0,0.35714285714285715,1.0,0.6,0.8333333333333334
Belgian,International  History ,UG Degree,5.0,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,6.0,2.5,0.0,7.0,2.5,0.0,0.5,1.0,1.0,1.0,0.0,,0.4166666666666667,0.0,0.35714285714285715,0.0
Belgian,International  History ,PG Taught,8.0,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,2.5,2.5,2.5,0.0,0.0,2.5,0.3125,1.0,0.0,,1.0,0.0,1.0,1.0,,inf
Belgian,International  Relations ,UG Degree,6.0,2.5,2.5,2.5,2.5,0.0,2.5,2.5,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.4166666666666667,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,
Belgian,International  Relations ,PG Taught,11.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,8.0,2.5,2.5,12.0,2.5,2.5,0.22727272727272727,1.0,1.0,1.0,1.0,1.0,0.3125,1.0,0.20833333333333334,1.0
Belgian,Language C.. ,UG Degree,2.5,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,1.0,0.0,0.0,,,,,,1.0,0.0
Belgian,Law School  ,UG Degree,10.0,2.5,2.5,9.0,2.5,0.0,11.0,0.0,0.0,12.0,2.5,2.5,5.0,2.5,2.5,0.25,1.0,0.2777777777777778,0.0,0.0,,0.20833333333333334,1.0,0.5,1.0
Belgian,Law School  ,PG Taught,41.0,10.0,5.0,22.0,11.0,8.0,18.0,8.0,2.5,20.0,12.0,6.0,28.0,18.0,7.0,0.24390243902439024,0.5,0.5,0.7272727272727273,0.4444444444444444,0.3125,0.6,0.5,0.6428571428571429,0.3888888888888889
Belgian,Management  ,UG Degree,11.0,2.5,2.5,5.0,0.0,0.0,11.0,0.0,0.0,13.0,2.5,2.5,13.0,2.5,2.5,0.22727272727272727,1.0,0.0,,0.0,,0.19230769230769232,1.0,0.19230769230769232,1.0
Belgian,Management  ,PG Taught,30.0,8.0,2.5,25.0,11.0,6.0,27.0,9.0,5.0,16.0,8.0,2.5,13.0,2.5,2.5,0.26666666666666666,0.3125,0.44,0.5454545454545454,0.3333333333333333,0.5555555555555556,0.5,0.3125,0.19230769230769232,1.0
Belgian,Mathematics  ,UG Degree,2.5,2.5,0.0,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,,0.0,
Belgian,Mathematics  ,PG Taught,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0,2.5,0.0,0.0,2.5,2.5,0.0,0.0,,0.0,,1.0,0.0,0.0,,1.0,0.0
Belgian,Media and C.. ,PG Taught,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0
Belgian,Methodology ,PG Taught,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,
Belgian,"Philosophy,  Logic and S.. ",UG Degree,2.5,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,
Belgian,"Philosophy,  Logic and S.. ",PG Taught,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,,
Belgian,Psychological  and Behavio.. ,UG Degree,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,1.0,1.0,0.0,,,,1.0,1.0,1.0,0.0
Belgian,Psychological  and Behavio.. ,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,5.0,2.5,2.5,8.0,2.5,2.5,2.5,2.5,2.5,1.0,1.0,1.0,1.0,0.5,1.0,0.3125,1.0,1.0,1.0
Belgian,School of Pu.. ,PG Taught,2.5,2.5,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0,1.0,0.0,0.0,,0.0,,0.0,,1.0,0.0
Belgian,Social Policy  ,UG Degree,2.5,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,,,,,
Belgian,Social Policy  ,PG Taught,0.0,0.0,0.0,5.0,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,,,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Belgian,Sociology  ,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,0.0,0.0,2.5,0.0,0.0,,,,,1.0,0.0,0.0,,0.0,
Belgian,Sociology  ,PG Taught,6.0,2.5,2.5,2.5,2.5,2.5,6.0,2.5,2.5,8.0,2.5,2.5,2.5,2.5,2.5,0.4166666666666667,1.0,1.0,1.0,0.4166666666666667,1.0,0.3125,1.0,1.0,1.0
Belgian,Statistics  ,UG Degree,2.5,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,0.0,,,
Belgian,Statistics  ,PG Taught,2.5,0.0,0.0,10.0,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0,0.0,,0.25,1.0,0.0,,0.0,,1.0,0.0
Bulgarian,Accounting  ,UG Degree,7.0,2.5,2.5,8.0,0.0,0.0,7.0,0.0,0.0,10.0,2.5,0.0,2.5,0.0,0.0,0.35714285714285715,1.0,0.0,,0.0,,0.25,0.0,0.0,
Bulgarian,Accounting  ,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,5.0,2.5,2.5,2.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,
Bulgarian,Anthropology  ,UG Degree,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,,0.0,,0.0,,1.0,1.0,,
Bulgarian,Anthropology  ,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,
Bulgarian,Economic  History ,UG Degree,2.5,0.0,0.0,2.5,0.0,0.0,6.0,2.5,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,,0.0,,0.4166666666666667,0.0,0.0,,0.0,
Bulgarian,Economic  History ,PG Taught,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,1.0,1.0,,,,,1.0,0.0,,
Bulgarian,Economics  ,UG Degree,9.0,0.0,0.0,18.0,2.5,2.5,16.0,0.0,0.0,7.0,0.0,0.0,13.0,2.5,0.0,0.0,,0.1388888888888889,1.0,0.0,,0.0,,0.19230769230769232,0.0
Bulgarian,Economics  ,PG Taught,2.5,0.0,0.0,2.5,0.0,0.0,8.0,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,,0.0,,0.3125,1.0,1.0,0.0,,
Bulgarian,European In.. ,PG Taught,5.0,2.5,2.5,2.5,2.5,0.0,2.5,2.5,2.5,5.0,2.5,2.5,2.5,0.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.0,
Bulgarian,Finance  ,UG Degree,2.5,0.0,0.0,6.0,0.0,0.0,7.0,2.5,2.5,2.5,2.5,2.5,5.0,0.0,0.0,0.0,,0.0,,0.35714285714285715,1.0,1.0,1.0,0.0,
Bulgarian,Finance  ,PG Taught,8.0,2.5,2.5,14.0,2.5,2.5,8.0,2.5,0.0,10.0,2.5,2.5,17.0,2.5,2.5,0.3125,1.0,0.17857142857142858,1.0,0.3125,0.0,0.25,1.0,0.14705882352941177,1.0
Bulgarian,Gender Stud.. ,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,,,
Bulgarian,Geography  and Environ.. ,UG Degree,2.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0,0.0,,1.0,0.0,,,0.0,,1.0,0.0
Bulgarian,Geography  and Environ.. ,PG Taught,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,2.5,6.0,2.5,2.5,2.5,2.5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.4166666666666667,1.0,1.0,0.0
Bulgarian,Government  ,UG Degree,7.0,0.0,0.0,11.0,2.5,2.5,7.0,0.0,0.0,8.0,0.0,0.0,9.0,2.5,2.5,0.0,,0.22727272727272727,1.0,0.0,,0.0,,0.2777777777777778,1.0
Bulgarian,Government  ,PG Taught,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,5.0,2.5,2.5,1.0,1.0,0.0,,1.0,1.0,0.0,,0.5,1.0
Bulgarian,Health Policy ,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,
Bulgarian,International.. ,PG Taught,2.5,2.5,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,1.0,0.0,,,1.0,1.0,1.0,1.0,0.0,
Bulgarian,International  History ,UG Degree,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,0.0,,,0.0,,0.0,,0.0,,1.0,0.0
Bulgarian,International  History ,PG Taught,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,,,,,,,1.0,0.0,1.0,0.0
Bulgarian,International  Relations ,UG Degree,2.5,0.0,0.0,5.0,2.5,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,0.0,,0.5,0.0,,,1.0,1.0,0.0,
Bulgarian,International  Relations ,PG Taught,6.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,6.0,2.5,0.0,2.5,2.5,2.5,0.4166666666666667,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,1.0,1.0
Bulgarian,Language C.. ,UG Degree,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,,,1.0,1.0,,,,,1.0,1.0
Bulgarian,Law School  ,UG Degree,18.0,2.5,2.5,13.0,2.5,0.0,8.0,2.5,2.5,6.0,2.5,0.0,8.0,2.5,0.0,0.1388888888888889,1.0,0.19230769230769232,0.0,0.3125,1.0,0.4166666666666667,0.0,0.3125,0.0
Bulgarian,Law School  ,PG Taught,9.0,2.5,2.5,7.0,2.5,2.5,8.0,5.0,2.5,5.0,2.5,2.5,2.5,0.0,0.0,0.2777777777777778,1.0,0.35714285714285715,1.0,0.625,0.5,0.5,1.0,0.0,
Bulgarian,Management  ,UG Degree,5.0,0.0,0.0,12.0,2.5,2.5,8.0,0.0,0.0,6.0,2.5,0.0,6.0,2.5,2.5,0.0,,0.20833333333333334,1.0,0.0,,0.4166666666666667,0.0,0.4166666666666667,1.0
Bulgarian,Management  ,PG Taught,13.0,5.0,5.0,13.0,2.5,2.5,7.0,2.5,2.5,8.0,2.5,2.5,21.0,8.0,2.5,0.38461538461538464,1.0,0.19230769230769232,1.0,0.35714285714285715,1.0,0.3125,1.0,0.38095238095238093,0.3125
Bulgarian,Mathematics  ,UG Degree,5.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,0.0,,0.0,,0.0,,0.0,,1.0,1.0
Bulgarian,Mathematics  ,PG Taught,2.5,0.0,0.0,2.5,2.5,0.0,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
Bulgarian,Media and C.. ,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,1.0,1.0,1.0,1.0,0.0,,,,1.0,1.0
Bulgarian,Methodology ,PG Taught,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,2.5,2.5,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,0.0,1.0,0.0,,
