Nationality,EU,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022,Applications 2023,Offers 2023,Entrances 2023,Salary Group
Austrian,Yes,Economic History,UG Degree,5.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,5.0,0.0,0.0,High
Austrian,Yes,Economic History,UG Degree,5.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,5.0,0.0,0.0,High
Austrian,Yes,Economic History,UG Degree,5.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,5.0,0.0,0.0,High
Austrian,Yes,Economic History,UG Degree,5.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,5.0,0.0,0.0,High
Austrian,Yes,Economic History,UG Degree,5.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,5.0,0.0,0.0,High
Austrian,Yes,Economic History,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,2.5,2.5,2.5,High
Austrian,Yes,Economic History,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,2.5,2.5,2.5,High
Austrian,Yes,Economic History,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,2.5,2.5,2.5,High
Austrian,Yes,Economic History,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,2.5,2.5,2.5,High
Austrian,Yes,Economic History,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,2.5,2.5,2.5,High
Austrian,Yes,Economic History,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,2.5,2.5,2.5,High
Austrian,Yes,Economic History,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,2.5,2.5,2.5,High
Austrian,Yes,Economic History,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,2.5,2.5,2.5,High
Austrian,Yes,Economics,UG Degree,16.0,0.0,0.0,12.0,0.0,0.0,10.0,0.0,0.0,16.0,0.0,0.0,9.0,2.5,0.0,High
Austrian,Yes,Economics,UG Degree,16.0,0.0,0.0,12.0,0.0,0.0,10.0,0.0,0.0,16.0,0.0,0.0,9.0,2.5,0.0,High
Austrian,Yes,Economics,UG Degree,16.0,0.0,0.0,12.0,0.0,0.0,10.0,0.0,0.0,16.0,0.0,0.0,9.0,2.5,0.0,High
Austrian,Yes,Economics,UG Degree,16.0,0.0,0.0,12.0,0.0,0.0,10.0,0.0,0.0,16.0,0.0,0.0,9.0,2.5,0.0,High
Austrian,Yes,Economics,PG Taught,12.0,7.0,2.5,9.0,6.0,2.5,7.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,High
Austrian,Yes,Economics,PG Taught,12.0,7.0,2.5,9.0,6.0,2.5,7.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,High
Austrian,Yes,Economics,PG Taught,12.0,7.0,2.5,9.0,6.0,2.5,7.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,High
Austrian,Yes,Economics,PG Taught,12.0,7.0,2.5,9.0,6.0,2.5,7.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,High
Austrian,Yes,European Institute,PG Taught,11.0,2.5,5.0,7.0,5.0,2.5,12.0,7.0,2.5,15.0,9.0,2.5,7.0,2.5,2.5,Low
Austrian,Yes,European Institute,PG Taught,11.0,2.5,5.0,7.0,5.0,2.5,12.0,7.0,2.5,15.0,9.0,2.5,7.0,2.5,2.5,Low
Austrian,Yes,European Institute,PG Taught,11.0,2.5,5.0,7.0,5.0,2.5,12.0,7.0,2.5,15.0,9.0,2.5,7.0,2.5,2.5,Low
Austrian,Yes,European Institute,PG Taught,11.0,2.5,5.0,7.0,5.0,2.5,12.0,7.0,2.5,15.0,9.0,2.5,7.0,2.5,2.5,Low
Austrian,Yes,European Institute,PG Taught,11.0,2.5,5.0,7.0,5.0,2.5,12.0,7.0,2.5,15.0,9.0,2.5,7.0,2.5,2.5,Low
Austrian,Yes,European Institute,PG Taught,11.0,2.5,5.0,7.0,5.0,2.5,12.0,7.0,2.5,15.0,9.0,2.5,7.0,2.5,2.5,Low
Austrian,Yes,European Institute,PG Taught,11.0,2.5,5.0,7.0,5.0,2.5,12.0,7.0,2.5,15.0,9.0,2.5,7.0,2.5,2.5,Low
Austrian,Yes,Finance,UG Degree,5.0,2.5,0.0,2.5,0.0,0.0,6.0,2.5,2.5,5.0,2.5,2.5,10.0,5.0,2.5,High
Austrian,Yes,Finance,UG Degree,5.0,2.5,0.0,2.5,0.0,0.0,6.0,2.5,2.5,5.0,2.5,2.5,10.0,5.0,2.5,High
Austrian,Yes,Finance,UG Degree,5.0,2.5,0.0,2.5,0.0,0.0,6.0,2.5,2.5,5.0,2.5,2.5,10.0,5.0,2.5,High
Austrian,Yes,Finance,UG Degree,5.0,2.5,0.0,2.5,0.0,0.0,6.0,2.5,2.5,5.0,2.5,2.5,10.0,5.0,2.5,High
Austrian,Yes,Finance,UG Degree,5.0,2.5,0.0,2.5,0.0,0.0,6.0,2.5,2.5,5.0,2.5,2.5,10.0,5.0,2.5,High
Austrian,Yes,Finance,PG Taught,20.0,2.5,2.5,18.0,6.0,2.5,22.0,9.0,2.5,28.0,12.0,2.5,13.0,2.5,2.5,High
Austrian,Yes,Finance,PG Taught,20.0,2.5,2.5,18.0,6.0,2.5,22.0,9.0,2.5,28.0,12.0,2.5,13.0,2.5,2.5,High
Austrian,Yes,Finance,PG Taught,20.0,2.5,2.5,18.0,6.0,2.5,22.0,9.0,2.5,28.0,12.0,2.5,13.0,2.5,2.5,High
Austrian,Yes,Finance,PG Taught,20.0,2.5,2.5,18.0,6.0,2.5,22.0,9.0,2.5,28.0,12.0,2.5,13.0,2.5,2.5,High
Austrian,Yes,Finance,PG Taught,20.0,2.5,2.5,18.0,6.0,2.5,22.0,9.0,2.5,28.0,12.0,2.5,13.0,2.5,2.5,High
Austrian,Yes,Gender Studies,PG Taught,0.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,Low
Austrian,Yes,Gender Studies,PG Taught,0.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,Low
Austrian,Yes,Gender Studies,PG Taught,0.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,Low
Austrian,Yes,Gender Studies,PG Taught,0.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,Low
Austrian,Yes,Gender Studies,PG Taught,0.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,Low
Austrian,Yes,Gender Studies,PG Taught,0.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,Low
Austrian,Yes,Gender Studies,PG Taught,0.0,0.0,0.0,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,Low
Austrian,Yes,Geography And Environment,UG Degree,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,Low
Austrian,Yes,Geography And Environment,UG Degree,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,Low
Austrian,Yes,Geography And Environment,UG Degree,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,Low
Austrian,Yes,Geography And Environment,UG Degree,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,Low
Austrian,Yes,Geography And Environment,UG Degree,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,Low
Austrian,Yes,Geography And Environment,UG Degree,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,Low
Austrian,Yes,Geography And Environment,UG Degree,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,Low
Austrian,Yes,Geography And Environment,UG Degree,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,Low
Austrian,Yes,Geography And Environment,UG Degree,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,Low
Austrian,Yes,Geography And Environment,UG Degree,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,Low
Austrian,Yes,Geography And Environment,UG Degree,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,Low
Austrian,Yes,Geography And Environment,UG Degree,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,Low
Austrian,Yes,Geography And Environment,UG Degree,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,Low
Austrian,Yes,Geography And Environment,UG Degree,2.5,2.5,2.5,2.5,0.0,0.0,2.5,0.0,0.0,2.5,2.5,2.5,2.5,2.5,0.0,Low
Austrian,Yes,Geography And Environment,PG Taught,13.0,2.5,2.5,7.0,2.5,2.5,8.0,2.5,2.5,28.0,6.0,2.5,20.0,7.0,5.0,Low
Austrian,Yes,Geography And Environment,PG Taught,13.0,2.5,2.5,7.0,2.5,2.5,8.0,2.5,2.5,28.0,6.0,2.5,20.0,7.0,5.0,Low
Austrian,Yes,Geography And Environment,PG Taught,13.0,2.5,2.5,7.0,2.5,2.5,8.0,2.5,2.5,28.0,6.0,2.5,20.0,7.0,5.0,Low
Austrian,Yes,Geography And Environment,PG Taught,13.0,2.5,2.5,7.0,2.5,2.5,8.0,2.5,2.5,28.0,6.0,2.5,20.0,7.0,5.0,Low
Austrian,Yes,Geography And Environment,PG Taught,13.0,2.5,2.5,7.0,2.5,2.5,8.0,2.5,2.5,28.0,6.0,2.5,20.0,7.0,5.0,Low
Austrian,Yes,Geography And Environment,PG Taught,13.0,2.5,2.5,7.0,2.5,2.5,8.0,2.5,2.5,28.0,6.0,2.5,20.0,7.0,5.0,Low
Austrian,Yes,Geography And Environment,PG Taught,13.0,2.5,2.5,7.0,2.5,2.5,8.0,2.5,2.5,28.0,6.0,2.5,20.0,7.0,5.0,Low
Austrian,Yes,Geography And Environment,PG Taught,13.0,2.5,2.5,7.0,2.5,2.5,8.0,2.5,2.5,28.0,6.0,2.5,20.0,7.0,5.0,Low
Austrian,Yes,Geography And Environment,PG Taught,13.0,2.5,2.5,7.0,2.5,2.5,8.0,2.5,2.5,28.0,6.0,2.5,20.0,7.0,5.0,Low
Austrian,Yes,Geography And Environment,PG Taught,13.0,2.5,2.5,7.0,2.5,2.5,8.0,2.5,2.5,28.0,6.0,2.5,20.0,7.0,5.0,Low
Austrian,Yes,Geography And Environment,PG Taught,13.0,2.5,2.5,7.0,2.5,2.5,8.0,2.5,2.5,28.0,6.0,2.5,20.0,7.0,5.0,Low
Austrian,Yes,Geography And Environment,PG Taught,13.0,2.5,2.5,7.0,2.5,2.5,8.0,2.5,2.5,28.0,6.0,2.5,20.0,7.0,5.0,Low
Austrian,Yes,Geography And Environment,PG Taught,13.0,2.5,2.5,7.0,2.5,2.5,8.0,2.5,2.5,28.0,6.0,2.5,20.0,7.0,5.0,Low
Austrian,Yes,Geography And Environment,PG Taught,13.0,2.5,2.5,7.0,2.5,2.5,8.0,2.5,2.5,28.0,6.0,2.5,20.0,7.0,5.0,Low
Austrian,Yes,Government,UG Degree,12.0,2.5,0.0,10.0,2.5,2.5,7.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,High
Austrian,Yes,Government,UG Degree,12.0,2.5,0.0,10.0,2.5,2.5,7.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,High
Austrian,Yes,Government,UG Degree,12.0,2.5,0.0,10.0,2.5,2.5,7.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,High
Austrian,Yes,Government,UG Degree,12.0,2.5,0.0,10.0,2.5,2.5,7.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,High
Austrian,Yes,Government,UG Degree,12.0,2.5,0.0,10.0,2.5,2.5,7.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,High
Austrian,Yes,Government,UG Degree,12.0,2.5,0.0,10.0,2.5,2.5,7.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,High
Austrian,Yes,Government,UG Degree,12.0,2.5,0.0,10.0,2.5,2.5,7.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,High
Austrian,Yes,Government,UG Degree,12.0,2.5,0.0,10.0,2.5,2.5,7.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,High
Austrian,Yes,Government,UG Degree,12.0,2.5,0.0,10.0,2.5,2.5,7.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,High
Austrian,Yes,Government,UG Degree,12.0,2.5,0.0,10.0,2.5,2.5,7.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,High
Austrian,Yes,Government,UG Degree,12.0,2.5,0.0,10.0,2.5,2.5,7.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,High
Austrian,Yes,Government,UG Degree,12.0,2.5,0.0,10.0,2.5,2.5,7.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,High
Austrian,Yes,Government,PG Taught,10.0,2.5,0.0,10.0,2.5,2.5,8.0,2.5,2.5,5.0,2.5,2.5,13.0,9.0,2.5,High
Austrian,Yes,Government,PG Taught,10.0,2.5,0.0,10.0,2.5,2.5,8.0,2.5,2.5,5.0,2.5,2.5,13.0,9.0,2.5,High
Austrian,Yes,Government,PG Taught,10.0,2.5,0.0,10.0,2.5,2.5,8.0,2.5,2.5,5.0,2.5,2.5,13.0,9.0,2.5,High
Austrian,Yes,Government,PG Taught,10.0,2.5,0.0,10.0,2.5,2.5,8.0,2.5,2.5,5.0,2.5,2.5,13.0,9.0,2.5,High
Austrian,Yes,Government,PG Taught,10.0,2.5,0.0,10.0,2.5,2.5,8.0,2.5,2.5,5.0,2.5,2.5,13.0,9.0,2.5,High
Austrian,Yes,Government,PG Taught,10.0,2.5,0.0,10.0,2.5,2.5,8.0,2.5,2.5,5.0,2.5,2.5,13.0,9.0,2.5,High
Austrian,Yes,Government,PG Taught,10.0,2.5,0.0,10.0,2.5,2.5,8.0,2.5,2.5,5.0,2.5,2.5,13.0,9.0,2.5,High
Austrian,Yes,Government,PG Taught,10.0,2.5,0.0,10.0,2.5,2.5,8.0,2.5,2.5,5.0,2.5,2.5,13.0,9.0,2.5,High
Austrian,Yes,Government,PG Taught,10.0,2.5,0.0,10.0,2.5,2.5,8.0,2.5,2.5,5.0,2.5,2.5,13.0,9.0,2.5,High
Austrian,Yes,Government,PG Taught,10.0,2.5,0.0,10.0,2.5,2.5,8.0,2.5,2.5,5.0,2.5,2.5,13.0,9.0,2.5,High
Austrian,Yes,Government,PG Taught,10.0,2.5,0.0,10.0,2.5,2.5,8.0,2.5,2.5,5.0,2.5,2.5,13.0,9.0,2.5,High
Austrian,Yes,Government,PG Taught,10.0,2.5,0.0,10.0,2.5,2.5,8.0,2.5,2.5,5.0,2.5,2.5,13.0,9.0,2.5,High
Austrian,Yes,Health Policy,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,High
Austrian,Yes,Health Policy,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,High
Austrian,Yes,Health Policy,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,High
Austrian,Yes,Health Policy,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,High
Austrian,Yes,Health Policy,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,High
Austrian,Yes,International Development,PG Taught,9.0,2.5,2.5,6.0,2.5,2.5,11.0,5.0,2.5,12.0,8.0,5.0,9.0,2.5,2.5,Low
Austrian,Yes,International Development,PG Taught,9.0,2.5,2.5,6.0,2.5,2.5,11.0,5.0,2.5,12.0,8.0,5.0,9.0,2.5,2.5,Low
Austrian,Yes,International Development,PG Taught,9.0,2.5,2.5,6.0,2.5,2.5,11.0,5.0,2.5,12.0,8.0,5.0,9.0,2.5,2.5,Low
Austrian,Yes,International Development,PG Taught,9.0,2.5,2.5,6.0,2.5,2.5,11.0,5.0,2.5,12.0,8.0,5.0,9.0,2.5,2.5,Low
Austrian,Yes,International History,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,Low
Austrian,Yes,International History,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,Low
Austrian,Yes,International History,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,Low
Austrian,Yes,International History,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,Low
Austrian,Yes,International History,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,Low
Austrian,Yes,International History,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,Low
Austrian,Yes,International History,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,Low
Austrian,Yes,International History,UG Degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,2.5,0.0,Low
Austrian,Yes,International History,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,Low
Austrian,Yes,International History,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,Low
Austrian,Yes,International History,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,Low
Austrian,Yes,International History,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,Low
Austrian,Yes,International History,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,Low
Austrian,Yes,International History,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,Low
Austrian,Yes,International History,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,Low
Austrian,Yes,International History,PG Taught,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,Low
Austrian,Yes,International Relations,UG Degree,10.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,Low
Austrian,Yes,International Relations,UG Degree,10.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,Low
Austrian,Yes,International Relations,UG Degree,10.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,Low
Austrian,Yes,International Relations,UG Degree,10.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,Low
Austrian,Yes,International Relations,UG Degree,10.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,Low
Austrian,Yes,International Relations,PG Taught,20.0,9.0,8.0,9.0,2.5,2.5,9.0,2.5,2.5,2.5,2.5,0.0,9.0,5.0,0.0,Low
Austrian,Yes,International Relations,PG Taught,20.0,9.0,8.0,9.0,2.5,2.5,9.0,2.5,2.5,2.5,2.5,0.0,9.0,5.0,0.0,Low
Austrian,Yes,International Relations,PG Taught,20.0,9.0,8.0,9.0,2.5,2.5,9.0,2.5,2.5,2.5,2.5,0.0,9.0,5.0,0.0,Low
Austrian,Yes,International Relations,PG Taught,20.0,9.0,8.0,9.0,2.5,2.5,9.0,2.5,2.5,2.5,2.5,0.0,9.0,5.0,0.0,Low
Austrian,Yes,International Relations,PG Taught,20.0,9.0,8.0,9.0,2.5,2.5,9.0,2.5,2.5,2.5,2.5,0.0,9.0,5.0,0.0,Low
Austrian,Yes,Language Centre,UG Degree,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,Low
Austrian,Yes,Law School,UG Degree,8.0,0.0,0.0,9.0,2.5,2.5,6.0,0.0,0.0,8.0,0.0,0.0,2.5,0.0,0.0,
Austrian,Yes,Law School,PG Taught,16.0,9.0,7.0,13.0,6.0,2.5,12.0,6.0,2.5,13.0,2.5,2.5,10.0,6.0,2.5,
Austrian,Yes,Management,UG Degree,16.0,2.5,2.5,11.0,2.5,2.5,14.0,2.5,0.0,8.0,2.5,2.5,15.0,0.0,0.0,High
Austrian,Yes,Management,UG Degree,16.0,2.5,2.5,11.0,2.5,2.5,14.0,2.5,0.0,8.0,2.5,2.5,15.0,0.0,0.0,High
Austrian,Yes,Management,UG Degree,16.0,2.5,2.5,11.0,2.5,2.5,14.0,2.5,0.0,8.0,2.5,2.5,15.0,0.0,0.0,High
Austrian,Yes,Management,UG Degree,16.0,2.5,2.5,11.0,2.5,2.5,14.0,2.5,0.0,8.0,2.5,2.5,15.0,0.0,0.0,High
Austrian,Yes,Management,UG Degree,16.0,2.5,2.5,11.0,2.5,2.5,14.0,2.5,0.0,8.0,2.5,2.5,15.0,0.0,0.0,High
Austrian,Yes,Management,UG Degree,16.0,2.5,2.5,11.0,2.5,2.5,14.0,2.5,0.0,8.0,2.5,2.5,15.0,0.0,0.0,High
Austrian,Yes,Management,UG Degree,16.0,2.5,2.5,11.0,2.5,2.5,14.0,2.5,0.0,8.0,2.5,2.5,15.0,0.0,0.0,High
Austrian,Yes,Management,UG Degree,16.0,2.5,2.5,11.0,2.5,2.5,14.0,2.5,0.0,8.0,2.5,2.5,15.0,0.0,0.0,High
Austrian,Yes,Management,PG Taught,26.0,11.0,5.0,23.0,11.0,2.5,21.0,6.0,2.5,22.0,8.0,2.5,16.0,9.0,2.5,High
Austrian,Yes,Management,PG Taught,26.0,11.0,5.0,23.0,11.0,2.5,21.0,6.0,2.5,22.0,8.0,2.5,16.0,9.0,2.5,High
Austrian,Yes,Management,PG Taught,26.0,11.0,5.0,23.0,11.0,2.5,21.0,6.0,2.5,22.0,8.0,2.5,16.0,9.0,2.5,High
Austrian,Yes,Management,PG Taught,26.0,11.0,5.0,23.0,11.0,2.5,21.0,6.0,2.5,22.0,8.0,2.5,16.0,9.0,2.5,High
Austrian,Yes,Management,PG Taught,26.0,11.0,5.0,23.0,11.0,2.5,21.0,6.0,2.5,22.0,8.0,2.5,16.0,9.0,2.5,High
Austrian,Yes,Management,PG Taught,26.0,11.0,5.0,23.0,11.0,2.5,21.0,6.0,2.5,22.0,8.0,2.5,16.0,9.0,2.5,High
Austrian,Yes,Management,PG Taught,26.0,11.0,5.0,23.0,11.0,2.5,21.0,6.0,2.5,22.0,8.0,2.5,16.0,9.0,2.5,High
Austrian,Yes,Management,PG Taught,26.0,11.0,5.0,23.0,11.0,2.5,21.0,6.0,2.5,22.0,8.0,2.5,16.0,9.0,2.5,High
