Undergraduate programmes,,,,
MSc in International Relations Theory,"£22,440","£22,440","£11,220","£11,220"
MSc in International Social and Public Policy 3,"£13,736","£21,104","£6,968","£10,652"
L,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
LLM,"£15,384","£22,440","£7,692","£11,220"
MSc in Law and Accounting,"£22,440","£22,440","£11,220","£11,220"
MSc in Local Economic Development,"£13,536","£20,904","£6,768","£10,452"
M,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
MSc in Management 4,"£29,976","£29,976",N/A,N/A
MSc in Management and Strategy,"£26,976","£27,504",N/A,N/A
MSc in Management of Information Systems and Digital Innovation,"£26,976","£27,504","£13,488","£13,752"
MSc in Marketing,"£26,976","£27,504","£13,488","£13,752"
MSc in Media and Communications (All streams),"£20,904","£20,904","£10,452","£10,452"
"MSc in Media, Communication and Development","£20,904","£20,904","£10,452","£10,452"
O,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
MSc in Operations Research and Analytics,"£22,440","£22,440","£11,220","£11,220"
MSc in Organisational and Social Psychology (Both streams),"£20,904","£20,904","£10,452","£10,452"
P,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
MSc in Philosophy and Public Policy,"£20,904","£20,904","£10,452","£10,452"
MSc in Philosophy of Science,"£13,536","£20,904","£6,768","£10,452"
MSc in Philosophy of the Social Sciences,"£13,536","£20,904","£6,768","£10,452"
MSc in Political Economy of Europe,"£20,904","£20,904","£10,452","£10,452"
MSc in Political Economy of Late Development,"£13,536","£20,904",N/A,N/A
MSc in Political Science and Political Economy,"£20,904","£20,904","£10,452","£10,452"
MSc in Political Sociology,"£13,536","£20,904","£6,768","£10,452"
MSc in Political Theory (Both streams),"£13,536","£20,904","£6,768","£10,452"
MSc in Politics and Communication,"£20,904","£20,904","£10,452","£10,452"
MSc in Psychology of Economic Life,"£13,536","£20,904","£6,768","£10,452"
LSE-PKU Double Degree in Public Administration and Government,See Double Degrees Section,,N/A,N/A
MPA in Public and Economic Policy,See Double Degrees Section,,N/A,N/A
MPA in Public and Social Policy,See Double Degrees Section,,N/A,N/A
MSc in Public Policy and Administration (Both streams),"£20,904","£20,904","£10,452","£10,452"
MPA in Public Policy and Management,See Double Degrees Section,,N/A,N/A
Q,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
MSc in Quantitative Economic History,"£13,536","£20,904",N/A,N/A
MSc in Quantitative Methods for Risk Management,"£26,976","£27,504","£13,488","£13,752"
R,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
MSc in Real Estate Economics and Finance,"£22,440","£22,440","£11,220","£11,220"
MSc in Regional and Urban Planning Studies,"£13,536","£20,904","£6,768","£10,452"
MSc in Regulation (Both streams),"£13,536","£20,904","£6,768","£10,452"
MSc in Risk and Finance,"£26,976","£27,504",N/A,N/A
S,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
MSc in Social and Cultural Psychology,"£13,536","£20,904","£6,768","£10,452"
MSc in Social and Public Communication,"£13,536","£20,904","£6,768","£10,452"
MSc in Social Anthropology (All streams),"£13,536","£20,904","£6,768","£10,452"
MSc in Social Innovation and Entrepreneurship,"£26,976","£27,504","£13,488","£13,752"
MSc in Social Policy (Research),"£10,728","£20,904","£5,364","£10,452"
MSc in Social Research Methods,"£13,536","£20,904","£6,768","£10,452"
MSc in Sociology (All streams),"£13,536","£20,904","£6,768","£10,452"
MSc in Statistics (including the Research stream and the Social Statistics streams),"£13,536","£20,904","£6,768","£10,452"
MSc in Statistics (Financial Statistics)(Both streams),"£26,976","£27,504","£13,488","£13,752"
MSc in Strategic Communications,"£20,904","£20,904","£10,452","£10,452"
T,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
MSc in Theory and History of International Relations,"£13,536","£20,904","£6,768","£10,452"
U,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
MSc in Urbanisation and Development,"£13,536 £20,904",,"£6,768","£10,452"
MSc in Urban Policy,See Double Degrees Section,,N/A,N/A
W,Full time,,Part time,
,Home/ EU,Overseas,Home/ EU,Overseas
"MSc in Women, Peace and Security","£13,536 £20,904",,"£6,768","£10,452"
,2018/19,,2019/20,
Year One (2018/18) at LSE,Home/EU,Overseas,Home/EU,Overseas
MSc in Global Media and Communications,"£20,904","£20,904",Partner Fee,
Year Two (2019/20) at LSE (provisional fees),,,,
"LSE-Sciences Po Double Degree in European Studies
(MSc in Political Economy of Europe or
MSc in Global Europe: Culture and Conflict or
MSc in Politics and Government in the European Union)",Partner Fee,,"£21,744","£21,744"
Double Degree in International Affairs,Partner Fee,,"£21,744","£21,744"
Double Degree in Internat ional an d W orld Hi story,Partner Fee,,"£21,744","£21,744"
"International Political Economy
(MSc in International Political Economy or
MSc in International Relations)",Partner Fee,,"£23,328","£23,328"
LSE-PKU Double Degree in Public Administration and Government (MSc in Public Policy and Adminis,Partner Fee,,"£21,744","£21,744"
MSc in The Global Political Economy of China and Europe (with Fudan),Partner Fee,,"£21,744","£21,744"
"MSc in Urban Policy (MSc in Local Economic Development or MSc in Regional and Urban Planning
Studies)",Partner Fee,,"£14,088","£21,744"
Year One institution optional,,,,
MA in Global Studies: A European Perspective,"£13,536","£20,904","£14,088","£21,744"
"Master of Public Administration (MPA) and MPA Programme Streams
European Public and Economic Policy
International Development
Public and Economic Policy
Public and Social Policy
Public Policy and Management","£25,368",,"£25,368",
,2018/19,,2019/20,
,Home/EU,Overseas,Home/EU,Overseas
Global MSc in Management,"£26,976","£27,504","£28,056","£28,608"
MSc in Economics,"£20,904","£20,904","£28,056","£28,608"
,2018/19,,2019/20,
,Home/EU,Overseas,Home/EU,Overseas
LSE-Chicago Double Executive Master's in Health Policy5,"$80,000","$80,000",N/A,N/A
Executive Global MSc Management,"£29,214","£29,214","£29,214","£29,214"
Executive Master's in Cities,"£32,376","£32,376",N/A,N/A
Executive Master's in Law 6,"£3,250 per module",,"£3,250 per module",
Executive MPA,"£14,978","£14,978","£14,978","£14,978"
Executive MSc in Behavioural Science,"£31,500","£31,500",N/A,N/A
"Executive MSc in Health Economics, Outcomes and Management in Cardiovascular Sciences","£12,854","£12,854","£12,854","£12,854"
"Executive MSc in Health Economics, Policy and Management","£9,947","£9,947","£9,947","£9,947"
Executive MSc in International Strategy and Diplomacy,"£29,200","£29,200",N/A,N/A
Executive MSc in Social Business and Entrepreneurship,"£32,000","£32,000",N/A,N/A
MSc in Finance (Part Time),"£17,100","£17,100","£17,100","£17,100"
